Date,Negative,Positive,Neutral,Total,Percentage_neg,Percentage_pos,Percentage_neutr
2015-11-22,45,61,161,267,16.853932584269664,22.846441947565545,60.2996254681648
2015-11-23,59,101,201,361,16.343490304709142,27.977839335180054,55.67867036011081
2015-11-24,61,120,259,440,13.863636363636363,27.27272727272727,58.86363636363636
2015-11-25,128,132,226,486,26.337448559670783,27.160493827160494,46.50205761316872
2015-11-26,85,173,543,801,10.611735330836455,21.5980024968789,67.79026217228464
2015-11-27,80,132,261,473,16.913319238900634,27.906976744186046,55.17970401691332
2015-11-28,96,135,222,453,21.192052980132452,29.80132450331126,49.00662251655629
2015-11-29,105,68,208,381,27.559055118110237,17.84776902887139,54.59317585301837
2015-11-30,49,103,238,390,12.564102564102564,26.410256410256412,61.02564102564103
2015-12-01,72,112,277,461,15.61822125813449,24.295010845986983,60.08676789587852
2015-12-02,220,241,458,919,23.939064200217626,26.22415669205658,49.83677910772579
2015-12-03,113,229,601,943,11.983032873807,24.284199363732768,63.73276776246023
2015-12-04,86,129,205,420,20.476190476190474,30.714285714285715,48.80952380952381
2015-12-05,32,77,176,285,11.228070175438596,27.017543859649123,61.75438596491228
2015-12-06,823,77,139,1039,79.21077959576516,7.41097208854668,13.378248315688163
2015-12-07,419,150,150,719,58.27538247566064,20.86230876216968,20.86230876216968
2015-12-08,160,110,212,482,33.19502074688796,22.821576763485478,43.983402489626556
2015-12-09,67,174,435,676,9.911242603550296,25.7396449704142,64.3491124260355
2015-12-10,82,143,248,473,17.33615221987315,30.23255813953488,52.43128964059197
2015-12-11,69,172,322,563,12.25577264653641,30.550621669627,57.19360568383659
2015-12-12,37,92,156,285,12.982456140350877,32.280701754385966,54.736842105263165
2015-12-13,41,97,186,324,12.654320987654321,29.938271604938272,57.407407407407405
2015-12-14,71,83,234,388,18.298969072164947,21.391752577319586,60.30927835051546
2015-12-15,76,123,184,383,19.843342036553523,32.114882506527415,48.04177545691906
2015-12-16,76,170,1186,1432,5.307262569832402,11.871508379888269,82.82122905027933
2015-12-17,67,134,367,568,11.795774647887324,23.591549295774648,64.61267605633803
