Date,Negative,Total,Percentage
2015-12-30,57,341,16.715542521994134
2015-12-31,51,263,19.39163498098859
2016-01-01,36,310,11.612903225806452
2016-01-02,163,366,44.53551912568306
2016-01-03,84,415,20.240963855421686
2016-01-04,63,443,14.221218961625281
2016-01-05,115,997,11.534603811434303
2016-01-06,139,524,26.52671755725191
2016-01-07,80,424,18.867924528301888
2016-01-08,70,333,21.02102102102102
2016-01-09,139,467,29.764453961456105
2016-01-10,200,452,44.24778761061947
2016-01-11,141,433,32.5635103926097
2016-01-12,95,357,26.610644257703083
2016-01-13,89,412,21.601941747572813
2016-01-14,93,581,16.00688468158348
2016-01-15,69,513,13.450292397660817
2016-01-16,77,362,21.2707182320442
2016-01-17,60,341,17.595307917888565
2016-01-18,109,780,13.974358974358974
2016-01-19,88,531,16.57250470809793
2016-01-20,149,1463,10.184552289815448
2016-01-21,125,813,15.375153751537516
2016-01-22,103,1824,5.646929824561404
2016-01-23,126,600,21.0
2016-01-24,150,1221,12.285012285012286
2016-01-25,206,1339,15.384615384615385
2016-01-26,91,863,10.544611819235227
2016-01-27,142,779,18.22849807445443
2016-01-28,280,3265,8.575803981623277
2016-01-29,267,914,29.21225382932166
2016-01-30,84,535,15.700934579439252
2016-01-31,111,460,24.130434782608695
2016-02-01,99,657,15.068493150684931
2016-02-02,135,601,22.462562396006653
2016-02-03,360,937,38.4204909284952
2016-02-04,130,1295,10.038610038610038
2016-02-05,42,374,11.229946524064172
2016-02-06,78,428,18.22429906542056
2016-02-07,59,333,17.71771771771772
2016-02-08,120,617,19.448946515397083
2016-02-09,51,410,12.439024390243903
2016-02-10,53,471,11.252653927813164
2016-02-11,62,335,18.507462686567163
2016-02-12,47,318,14.779874213836477
2016-02-13,31,221,14.027149321266968
2016-02-14,35,226,15.486725663716813
2016-02-15,70,301,23.25581395348837
2016-02-16,51,282,18.085106382978726
2016-02-17,131,514,25.486381322957197
2016-02-18,94,480,19.583333333333332
2016-02-19,75,491,15.274949083503056
2016-02-20,126,491,25.661914460285136
2016-02-21,86,524,16.412213740458014
2016-02-22,86,483,17.805383022774325
2016-02-23,68,344,19.767441860465116
2016-02-24,65,386,16.83937823834197
2016-02-25,114,703,16.216216216216218
