Date,Positive_nlikes,Positive_nreplies,Positive_nretweets,Negative_nlikes,Negative_nreplies,Negative_nretweets,Neutral_nlikes,Neutral_nreplies,Neutral_nretweets,Total_nlikes,Total_nreplies,Total_nretweets
2015-10-01,110,60,134,77,13,225,51,21,61,238,94,420
2015-10-02,108,19,56,72,8,267,46,15,40,226,42,363
2015-10-03,71,34,25,93,14,239,39,28,29,203,76,293
2015-10-04,53,19,55,39,2,108,29,2,32,121,23,195
2015-10-05,153,27,87,35,7,79,80,9,27,268,43,193
2015-10-06,101,43,123,81,9,185,71,17,60,253,69,368
2015-10-07,149,36,122,66,14,141,93,26,61,308,76,324
2015-10-08,106,22,62,53,2,123,73,14,61,232,38,246
2015-10-09,165,37,92,99,8,332,250,27,204,514,72,628
2015-10-10,113,52,42,65,7,88,153,48,77,331,107,207
2015-10-11,101,29,76,48,9,137,193,31,295,342,69,508
2015-10-12,178,43,145,31,6,73,86,21,49,295,70,267
2015-10-13,94,16,80,33,6,60,136,45,196,263,67,336
2015-10-14,275,33,354,35,8,95,75,22,84,385,63,533
2015-10-15,150,35,209,18,9,16,81,22,96,249,66,321
2015-10-16,131,63,308,40,2,68,114,26,127,285,91,503
2015-10-17,146,22,259,28,6,50,110,17,60,284,45,369
2015-10-18,81,17,210,36,7,112,69,16,97,186,40,419
2015-10-19,147,12,209,25,1,55,95,28,108,267,41,372
2015-10-20,212,27,298,55,5,71,114,12,98,381,44,467
2015-10-21,185,23,357,8,3,6,67,11,50,260,37,413
2015-10-22,233,28,640,14,7,38,62,15,50,309,50,728
2015-10-23,198,23,279,142,12,281,57,12,88,397,47,648
2015-10-24,180,31,1195,146,13,554,109,23,67,435,67,1816
2015-10-25,128,42,533,36,6,31,74,22,44,238,70,608
2015-10-26,105,27,266,13,6,53,57,8,40,175,41,359
2015-10-27,136,27,292,17,11,28,60,22,74,213,60,394
2015-10-28,303,29,531,21,8,19,63,15,64,387,52,614
2015-10-29,99,39,123,28,17,20,87,30,105,214,86,248
2015-10-30,90,28,97,32,20,25,83,25,95,205,73,217
2015-10-31,94,26,53,32,3,24,68,26,67,194,55,144
2015-11-01,529,38,358,38,4,26,139,31,136,706,73,520
2015-11-02,251,43,234,132,20,42,117,24,273,500,87,549
2015-11-03,201,41,162,14,4,15,100,16,130,315,61,307
2015-11-04,323,51,468,43,2,66,151,20,65,517,73,599
2015-11-05,180,34,220,68,23,28,115,19,153,363,76,401
2015-11-06,311,21,299,29,5,33,76,15,53,416,41,385
2015-11-07,84,29,63,61,19,62,57,17,52,202,65,177
2015-11-08,154,23,90,18,9,12,42,18,28,214,50,130
2015-11-09,333,20,469,54,20,39,131,28,174,518,68,682
2015-11-10,114,23,145,16,2,4,72,11,39,202,36,188
2015-11-11,122,17,86,12,9,10,115,27,75,249,53,171
2015-11-12,177,56,163,22,10,11,73,19,58,272,85,232
2015-11-13,263,45,266,55,21,37,163,30,130,481,96,433
2015-11-14,508,60,277,52,20,19,80,24,68,640,104,364
2015-11-15,96,33,31,18,4,0,125,43,21,239,80,52
2015-11-16,128,29,170,100,8,106,92,20,55,320,57,331
2015-11-17,135,31,151,15,14,16,169,23,69,319,68,236
2015-11-18,141,38,225,23,14,21,87,26,115,251,78,361
2015-11-19,261,81,268,73,30,88,158,44,97,492,155,453
2015-11-20,333,59,344,1626,71,2419,202,59,144,2161,189,2907
2015-11-21,69,36,18,47,19,19,190,33,177,306,88,214
2015-11-22,176,46,289,39,15,7,109,39,39,324,100,335
2015-11-23,342,85,306,20,16,10,216,83,137,578,184,453
2015-11-24,301,46,271,50,11,32,142,23,105,493,80,408
2015-11-25,166,37,164,81,17,128,144,32,156,391,86,448
2015-11-26,327,42,306,19,15,13,131,20,106,477,77,425
2015-11-27,240,43,177,64,16,131,137,39,66,441,98,374
2015-11-28,142,36,159,23,12,20,220,15,280,385,63,459
2015-11-29,133,23,161,33,15,21,103,12,35,269,50,217
2015-11-30,234,53,346,60,13,157,107,43,84,401,109,587
2015-12-01,169,18,165,50,15,113,74,18,93,293,51,371
2015-12-02,185,39,242,89,17,218,140,17,67,414,73,527
2015-12-03,146,41,340,31,17,41,175,60,86,352,118,467
2015-12-04,694,52,633,315,25,609,82,21,62,1091,98,1304
2015-12-05,92,20,63,13,1,8,72,11,70,177,32,141
2015-12-06,124,22,105,37,8,46,28,13,17,189,43,168
2015-12-07,407,36,371,39,5,68,90,11,67,536,52,506
2015-12-08,200,48,248,19,8,12,118,31,80,337,87,340
2015-12-09,310,48,180,119,19,171,64,21,48,493,88,399
2015-12-10,147,32,168,177,26,193,93,22,99,417,80,460
2015-12-11,163,21,278,25,8,20,52,13,40,240,42,338
2015-12-12,150,23,475,30,6,18,190,21,83,370,50,576
2015-12-13,436,40,1214,17,4,3,118,31,58,571,75,1275
2015-12-14,312,46,1025,115,26,492,108,56,68,535,128,1585
2015-12-15,168,26,168,28,11,3,261,35,108,457,72,279
2015-12-16,465,59,642,31503,688,25465,94,16,128,32062,763,26235
2015-12-17,295,37,365,66,12,131,99,23,48,460,72,544
2015-12-18,812,79,468,201,18,275,124,20,24,1137,117,767
2015-12-19,270,55,362,31,7,12,23,7,14,324,69,388
2015-12-20,111,31,75,32,14,3,156,26,64,299,71,142
2015-12-21,223,42,189,26,19,24,67,17,43,316,78,256
2015-12-22,84,21,65,93,26,118,113,27,24,290,74,207
2015-12-23,161,38,32,36,23,12,67,28,18,264,89,62
2015-12-24,111,26,57,91,11,40,149,45,27,351,82,124
2015-12-25,141,22,108,50,6,5,52,11,13,243,39,126
2015-12-26,129,12,111,26,6,17,55,8,27,210,26,155
2015-12-27,97,26,76,45,10,19,70,25,14,212,61,109
2015-12-28,161,37,106,12,10,2,76,29,71,249,76,179
2015-12-29,135,32,121,31,23,6,56,33,29,222,88,156
2015-12-30,319,99,289,37,16,4,106,41,84,462,156,377
2015-12-31,119,30,56,45,12,14,52,18,16,216,60,86
2016-01-01,198,31,99,35,23,10,124,43,25,357,97,134
2016-01-02,307,98,123,54,17,34,267,122,227,628,237,384
2016-01-03,245,54,87,45,6,15,109,19,58,399,79,160
2016-01-04,282,24,409,96,6,59,199,36,131,577,66,599
2016-01-05,780,151,557,112,30,83,257,64,90,1149,245,730
2016-01-06,370,77,301,110,29,103,450,271,556,930,377,960
2016-01-07,202,52,156,56,21,14,291,79,204,549,152,374
2016-01-08,193,29,124,127,21,52,263,56,278,583,106,454
2016-01-09,270,45,239,176,31,233,106,39,19,552,115,491
2016-01-10,135,73,39,41,19,19,167,85,74,343,177,132
2016-01-11,237,29,242,111,12,100,153,9,82,501,50,424
2016-01-12,644,34,371,18,4,27,232,23,85,894,61,483
2016-01-13,221,37,126,27,13,5,325,33,204,573,83,335
2016-01-14,305,54,180,42,5,36,296,36,115,643,95,331
2016-01-15,277,42,147,36,16,14,268,57,145,581,115,306
2016-01-16,218,33,173,53,10,6,259,38,145,530,81,324
2016-01-17,102,82,24,57,16,12,86,50,33,245,148,69
2016-01-18,120,12,86,42,15,15,39,16,39,201,43,140
2016-01-19,339,52,254,103,17,63,167,36,64,609,105,381
2016-01-20,278,101,138,115,45,98,311,140,286,704,286,522
2016-01-21,316,54,230,58,22,43,97,30,69,471,106,342
2016-01-22,378,74,256,80,26,31,120,50,77,578,150,364
2016-01-23,139,71,41,45,24,8,198,36,89,382,131,138
2016-01-24,106,35,46,48,13,33,137,55,66,291,103,145
2016-01-25,484,51,214,46,7,61,151,23,111,681,81,386
2016-01-26,1518,170,286,47,20,36,111,41,74,1676,231,396
2016-01-27,167,58,103,96,40,67,93,44,77,356,142,247
2016-01-28,157,53,84,51,17,20,171,58,106,379,128,210
2016-01-29,574,61,564,52,15,25,171,57,71,797,133,660
2016-01-30,144,62,33,41,35,9,267,84,43,452,181,85
2016-01-31,108,64,57,43,13,2,139,43,40,290,120,99
2016-02-01,299,53,304,66,24,50,141,35,72,506,112,426
2016-02-02,165,37,101,53,12,31,168,73,68,386,122,200
2016-02-03,151,54,181,51,10,45,205,40,186,407,104,412
2016-02-04,237,23,172,24,5,21,168,28,242,429,56,435
2016-02-05,246,55,223,63,14,47,227,63,112,536,132,382
2016-02-06,209,46,183,78,13,85,165,39,23,452,98,291
2016-02-07,411,55,341,75,11,56,150,33,58,636,99,455
2016-02-08,189,39,172,50,21,61,173,19,108,412,79,341
2016-02-09,251,67,317,58,20,46,161,52,67,470,139,430
2016-02-10,141,34,113,72,27,42,171,62,75,384,123,230
2016-02-11,140,39,72,60,55,31,109,24,44,309,118,147
2016-02-12,118,28,125,180,21,295,196,38,289,494,87,709
2016-02-13,453,30,674,66,23,128,99,27,28,618,80,830
2016-02-14,279,43,70,59,19,173,66,17,59,404,79,302
2016-02-15,270,36,189,82,27,162,137,43,90,489,106,441
2016-02-16,160,46,155,56,10,65,92,25,57,308,81,277
2016-02-17,156,54,126,175,28,553,107,28,58,438,110,737
2016-02-18,827,49,517,45,12,25,113,26,127,985,87,669
2016-02-19,230,50,85,58,20,21,152,43,52,440,113,158
2016-02-20,96,32,31,52,17,21,147,63,29,295,112,81
2016-02-21,231,52,72,64,20,9,209,84,33,504,156,114
2016-02-22,229,55,133,95,22,155,147,66,75,471,143,363
2016-02-23,274,55,219,35,14,31,143,63,55,452,132,305
2016-02-24,505,22,437,701,20,957,101,32,17,1307,74,1411
2016-02-25,192,49,135,43,15,34,160,56,35,395,120,204
2016-02-26,1150,70,306,43,17,12,133,61,34,1326,148,352
2016-02-27,126,39,49,30,25,136,132,36,78,288,100,263
2016-02-28,204,52,106,53,9,34,169,54,5,426,115,145
2016-02-29,174,38,70,27,5,18,93,19,45,294,62,133
2016-03-01,229,75,295,31,17,34,149,39,114,409,131,443
2016-03-02,132,22,60,17,10,24,71,22,96,220,54,180
2016-03-03,134,33,89,24,7,4,232,54,184,390,94,277
2016-03-04,200,60,69,96,31,269,217,59,85,513,150,423
2016-03-05,235,46,244,40,11,14,192,39,63,467,96,321
2016-03-06,191,26,106,47,7,19,208,27,118,446,60,243
2016-03-07,541,59,303,53,10,28,158,25,95,752,94,426
2016-03-08,372,42,581,114,23,69,522,59,393,1008,124,1043
2016-03-09,176,56,105,68,9,23,129,33,75,373,98,203
2016-03-10,169,50,77,132,26,61,199,57,131,500,133,269
2016-03-11,364,68,171,34,9,15,148,40,67,546,117,253
2016-03-12,232,44,112,23,3,2,180,39,41,435,86,155
2016-03-13,179,46,51,47,14,17,210,71,43,436,131,111
2016-03-14,272,47,156,1196,20,895,382,59,55,1850,126,1106
2016-03-15,238,35,179,38,7,10,200,40,83,476,82,272
2016-03-16,226,22,144,44,9,29,105,17,44,375,48,217
2016-03-17,65,25,28,70,17,17,114,25,37,249,67,82
2016-03-18,125,24,82,47,11,22,1305,130,697,1477,165,801
2016-03-19,244,52,83,54,12,16,262,60,146,560,124,245
2016-03-20,256,59,145,81,24,61,106,63,27,443,146,233
2016-03-21,256,52,119,36,9,25,214,44,139,506,105,283
2016-03-22,248,42,181,193,35,143,253,60,165,694,137,489
2016-03-23,144,42,93,221,36,13,92,41,64,457,119,170
2016-03-24,232,35,279,49,14,20,180,42,106,461,91,405
2016-03-25,126,23,88,52,18,67,118,45,17,296,86,172
2016-03-26,182,80,63,116,43,69,130,57,72,428,180,204
2016-03-27,139,58,17,73,24,14,224,78,100,436,160,131
2016-03-28,128,42,54,77,20,20,137,40,57,342,102,131
2016-03-29,203,43,131,90,17,43,205,32,71,498,92,245
2016-03-30,194,41,90,601,22,614,125,48,131,920,111,835
2016-03-31,279,55,205,62,23,16,175,40,164,516,118,385
