Date,Positive_nlikes,Positive_nreplies,Positive_nretweets,Negative_nlikes,Negative_nreplies,Negative_nretweets,Neutral_nlikes,Neutral_nreplies,Neutral_nretweets,Total_Positive,Total_Negative,Total_Neutral
2019-12-15,2325,192,576,780,48,146,151,24,52,3093,974,227
2019-12-16,1177,141,330,1068,57,154,323,40,121,1648,1279,484
2019-12-17,3518,213,1230,3836,600,1746,1252,102,1169,4961,6182,2523
2019-12-18,4125,287,1047,1263,77,170,704,197,201,5459,1510,1102
2019-12-19,31673,625,5474,23036,657,1706,5456,201,846,37772,25399,6503
2019-12-20,7431,556,1445,2480,263,339,1368,145,237,9432,3082,1750
2019-12-21,1180,177,233,797,97,134,433,72,105,1590,1028,610
2019-12-22,1407,153,250,1254,106,200,1946,334,529,1810,1560,2809
2019-12-23,4457,1947,877,717,75,200,294,46,71,7281,992,411
2019-12-24,937,164,278,2268,180,212,506,44,324,1379,2660,874
2019-12-25,464,66,104,69,40,12,58,25,16,634,121,99
2019-12-26,568,88,195,249,56,38,99,8,24,851,343,131
2019-12-27,1279,140,356,230,38,67,337,270,174,1775,335,781
2019-12-28,965,174,391,1309,60,85,453,65,206,1530,1454,724
2019-12-29,544,128,87,4588,873,5155,367,76,116,759,10616,559
2019-12-30,1844,200,793,1224,114,316,396,41,157,2837,1654,594
2019-12-31,1518,168,373,251,76,60,99,20,43,2059,387,162
2020-01-01,900,110,177,200,45,35,1116,60,590,1187,280,1766
2020-01-02,1293,192,428,269,47,62,2346,357,1104,1913,378,3807
2020-01-03,1869,711,998,1000,95,214,3736,2828,529,3578,1309,7093
2020-01-04,1879,314,306,423,60,47,205,37,42,2499,530,284
2020-01-05,676,148,210,188,65,29,70,34,31,1034,282,135
2020-01-06,1550,199,419,323,101,53,184,43,35,2168,477,262
2020-01-07,40056,595,8998,1338,91,152,763,65,101,49649,1581,929
2020-01-08,11696,889,4328,1750,202,621,2935,780,699,16913,2573,4414
2020-01-09,1740,176,230,854,87,199,1113,73,193,2146,1140,1379
2020-01-10,6558,352,1620,2590,148,186,1453,156,304,8530,2924,1913
2020-01-11,2889,211,697,633,95,87,437,35,99,3797,815,571
2020-01-12,5236,299,1166,4713,194,491,325,37,42,6701,5398,404
2020-01-13,9888,426,1847,2412,187,424,1331,70,464,12161,3023,1865
2020-01-14,2516,235,536,1176,100,356,392,72,117,3287,1632,581
2020-01-15,5221,410,959,5663,115,374,773,123,167,6590,6152,1063
2020-01-16,8112,361,2071,499,66,65,998,159,666,10544,630,1823
2020-01-17,4250,501,981,10504,1050,1617,387,47,129,5732,13171,563
2020-01-18,3149,236,506,2560,129,151,750,43,108,3891,2840,901
2020-01-19,2549,200,271,4077,205,233,619,57,84,3020,4515,760
2020-01-20,3463,249,646,943,110,173,225,41,55,4358,1226,321
2020-01-21,1272,171,214,1689,161,353,366,57,123,1657,2203,546
2020-01-22,5145,293,870,758,82,145,913,46,173,6308,985,1132
2020-01-23,1633,190,272,554,100,127,413,257,129,2095,781,799
2020-01-24,795,170,214,438,86,73,875,87,407,1179,597,1369
2020-01-25,1311,117,270,768,82,131,253,34,121,1698,981,408
2020-01-26,1391,146,203,1684,167,518,859,51,234,1740,2369,1144
2020-01-27,3500,188,688,681,261,154,997,88,245,4376,1096,1330
2020-01-28,3476,820,897,497,73,137,852,78,295,5193,707,1225
2020-01-29,3228,295,668,2108,114,489,917,69,188,4191,2711,1174
2020-01-30,3667,434,627,2763,85,335,594,71,112,4728,3183,777
2020-01-31,3179,289,590,1930,165,310,934,95,220,4058,2405,1249
2020-02-01,2692,218,694,533,58,59,489,39,139,3604,650,667
2020-02-02,1954,181,431,2041,181,697,1247,102,335,2566,2919,1684
2020-02-03,5224,236,724,616,127,145,901,54,265,6184,888,1220
2020-02-04,3242,176,754,570,65,148,992,84,232,4172,783,1308
2020-02-05,3606,356,835,863,99,392,864,74,279,4797,1354,1217
2020-02-06,9104,1869,2290,3460,381,790,6994,1048,1415,13263,4631,9457
2020-02-07,7780,648,603,1255,216,303,712,85,165,9031,1774,962
2020-02-08,5207,397,1067,664,96,104,240,41,102,6671,864,383
2020-02-09,2188,183,687,881,93,324,614,55,127,3058,1298,796
