Date,Positive_nlikes,Positive_nreplies,Positive_nretweets,Negative_nlikes,Negative_nreplies,Negative_nretweets,Neutral_nlikes,Neutral_nreplies,Neutral_nretweets,Total_Positive,Total_Negative,Total_Neutral
2015-10-01,282,130,470,344,108,550,629,240,1083,882,1002,1952
2015-10-02,496,140,575,469,136,883,961,304,2151,1211,1488,3416
2015-10-03,739,153,975,177,57,289,1041,285,2892,1867,523,4218
2015-10-04,963,141,2024,896,156,933,977,252,1689,3128,1985,2918
2015-10-05,510,141,794,269,98,1226,1005,256,1715,1445,1593,2976
2015-10-06,1023,453,2600,762,137,1141,770,377,1513,4076,2040,2660
2015-10-07,1268,203,3515,257,94,454,1205,328,1973,4986,805,3506
2015-10-08,847,295,1167,198,95,376,595,166,1722,2309,669,2483
2015-10-09,340,115,514,138,91,507,532,177,871,969,736,1580
2015-10-10,325,97,402,133,54,181,332,143,659,824,368,1134
2015-10-11,254,128,372,312,105,401,478,185,913,754,818,1576
2015-10-12,640,179,1152,536,120,801,1105,339,1777,1971,1457,3221
2015-10-13,796,153,1057,375,134,979,1758,587,3720,2006,1488,6065
2015-10-14,792,162,1235,468,210,778,839,354,1244,2189,1456,2437
2015-10-15,524,102,696,200,111,580,826,283,1494,1322,891,2603
2015-10-16,413,168,712,190,107,340,809,232,1625,1293,637,2666
2015-10-17,455,143,922,134,65,319,488,169,2296,1520,518,2953
2015-10-18,218,103,778,210,79,376,444,210,1202,1099,665,1856
2015-10-19,587,201,857,450,114,871,1224,360,2444,1645,1435,4028
2015-10-20,1214,340,1656,517,177,840,1513,418,2513,3210,1534,4444
2015-10-21,621,249,1066,396,166,615,982,289,1873,1936,1177,3144
2015-10-22,821,260,1431,703,183,1316,2073,634,3919,2512,2202,6626
2015-10-23,503,175,969,262,68,357,989,300,2061,1647,687,3350
2015-10-24,178,89,324,140,50,249,442,176,742,591,439,1360
2015-10-25,288,218,893,332,122,600,520,241,1584,1399,1054,2345
2015-10-26,424,121,743,443,124,770,1428,354,2297,1288,1337,4079
2015-10-27,525,175,1053,487,149,882,1005,424,4928,1753,1518,6357
2015-10-28,841,232,2084,552,197,1301,985,242,1809,3157,2050,3036
2015-10-29,643,195,1316,345,127,742,909,291,2258,2154,1214,3458
2015-10-30,361,183,542,321,101,521,1302,404,3714,1086,943,5420
2015-10-31,183,86,341,124,37,185,489,177,1364,610,346,2030
2015-11-01,1357,231,1495,280,107,656,1052,374,3533,3083,1043,4959
2015-11-02,2240,259,3743,344,146,539,794,271,1932,6242,1029,2997
2015-11-03,774,228,1393,291,113,596,966,279,2122,2395,1000,3367
2015-11-04,754,148,1750,643,176,1362,1552,373,3544,2652,2181,5469
2015-11-05,477,162,748,342,131,1504,1227,320,2440,1387,1977,3987
2015-11-06,681,221,809,252,76,615,1147,292,2551,1711,943,3990
2015-11-07,284,111,579,213,78,468,467,165,1015,974,759,1647
2015-11-08,388,136,639,391,119,714,390,221,785,1163,1224,1396
2015-11-09,862,212,1523,419,141,899,928,340,1921,2597,1459,3189
2015-11-10,1231,366,2624,315,140,697,1121,354,2560,4221,1152,4035
2015-11-11,428,109,751,460,214,1000,1096,341,2068,1288,1674,3505
2015-11-12,3263,623,3782,1141,203,1959,5039,953,7132,7668,3303,13124
2015-11-13,701,165,852,353,123,628,2263,309,4022,1718,1104,6594
2015-11-14,409,92,409,494,133,785,965,235,1471,910,1412,2671
2015-11-15,183,71,418,129,65,228,425,189,904,672,422,1518
2015-11-16,588,204,722,404,125,579,1112,428,1985,1514,1108,3525
2015-11-17,434,105,718,263,105,413,2287,569,4189,1257,781,7045
2015-11-18,941,252,1433,306,92,573,1193,251,1640,2626,971,3084
2015-11-19,631,240,768,400,105,717,1803,370,5341,1639,1222,7514
2015-11-20,461,113,726,190,88,374,1672,300,2746,1300,652,4718
2015-11-21,281,114,777,99,62,151,1015,162,2044,1172,312,3221
2015-11-22,418,172,547,333,81,453,737,230,1422,1137,867,2389
2015-11-23,1101,424,1760,314,101,680,798,215,1347,3285,1095,2360
2015-11-24,498,125,1653,266,77,275,1471,430,3517,2276,618,5418
2015-11-25,978,231,1287,288,109,541,1734,392,4198,2496,938,6324
2015-11-26,585,257,880,292,119,365,1678,453,2496,1722,776,4627
