Date,Positive_nlikes,Positive_nreplies,Positive_nretweets,Negative_nlikes,Negative_nreplies,Negative_nretweets,Neutral_nlikes,Neutral_nreplies,Neutral_nretweets,Positive tweets,Negative tweets,Neutral tweets
2019-10-01,28.584376265499355,41.96067869647185,17.60798976680114,31.401739398731127,26.63614328036628,29.017022532716716,40.01388433576952,31.403178023161864,53.374987700482144,37.20672455200443,22.07648254202845,40.71679290596712
2019-10-02,48.76286030099482,38.249043773905655,44.626168224299064,18.782416461185274,22.65193370165746,22.264980758658602,32.45472323781991,39.09902252443689,33.10885101704233,35.63418406805878,22.08043310131477,42.28538283062645
2019-10-03,65.56085143259492,41.88449848024316,51.36857501044714,21.456426366246006,39.96960486322188,35.008357709987465,12.982722201159074,18.145896656534955,13.623067279565399,35.87223587223587,25.696150696150696,38.43161343161343
2019-10-04,47.190380761523045,40.19138755980861,53.17835088993825,21.7875751503006,27.830940988835724,22.04867417362877,31.022044088176354,31.97767145135566,24.77297493643298,37.26640591047371,25.814863102998697,36.9187309865276
2019-10-05,37.68206843682486,35.0,36.602052451539336,23.876228308592932,26.728395061728396,25.598631698973776,38.4417032545822,38.27160493827161,37.79931584948689,34.96360989810771,25.181950509461426,39.85443959243086
2019-10-06,54.32448377581121,39.48717948717949,48.92698857009564,21.52605703048181,22.71794871794872,20.573827851644506,24.14945919370698,37.794871794871796,30.499183578259856,33.76825100963032,22.336129232680957,43.89561975768872
2019-10-07,31.566432445430014,43.18689501116902,47.15159317669778,21.547463196986293,32.42740134028295,25.39427100096556,46.88610435758369,24.385703648548027,27.45413582233666,36.61771672193273,24.82235907153008,38.55992420653719
2019-10-08,49.940927626815046,39.00264200792602,49.63255456838873,20.873508898967188,22.85336856010568,25.622463529669847,29.18556347421777,38.14398943196829,24.74498190194143,37.63111888111888,24.3006993006993,38.06818181818182
2019-10-09,31.950830440086328,24.533195020746888,43.687757770848,28.33505364236339,16.75311203319502,21.18499144955236,39.71411591755028,58.71369294605809,35.127250779599635,38.315018315018314,23.565323565323567,38.11965811965812
2019-10-10,56.486718080548414,53.40909090909091,57.709942084942085,21.902313624678662,25.940438871473354,20.535714285714285,21.61096829477292,20.650470219435736,21.75434362934363,39.3780013720558,22.844729018980104,37.7772696089641
2019-10-11,28.577922304975697,54.532967032967036,37.04441579749209,28.37511801111927,15.188383045525903,21.57506152584085,43.04695968390503,30.278649921507064,41.380522676667056,37.216681776971896,24.070716228467816,38.71260199456029
2019-10-12,21.112547433384762,29.125874125874127,18.75180583646345,10.712647512614152,14.545454545454545,8.311663295771934,68.17480505400108,56.32867132867133,72.93653086776462,35.06856982927512,25.076966134900644,39.854464035824236
2019-10-13,94.6019804526749,75.39742619227857,92.63530486412422,1.9804526748971194,7.948523845571537,3.0943137702671843,3.4175668724279835,16.654049962149887,4.2703813656085865,37.11558854718982,22.37539766702015,40.50901378579003
2019-10-14,40.31720124893557,82.92796138135908,37.385862316610236,17.14093102469486,4.149647233568511,20.180568380014364,42.541867726369574,12.92239138507241,42.4335693033754,36.21212121212121,24.303030303030305,39.484848484848484
2019-10-15,45.923268009936514,45.26378896882494,53.04508748317631,21.026773392216395,28.896882494004796,23.78869448183042,33.04995859784709,25.839328537170264,23.16621803499327,38.1636843649164,24.34731592842476,37.488999706658845
2019-10-16,64.65422839314861,56.12950163695889,57.98655278938761,12.510589061757475,19.6435067297199,19.380337997455932,22.835182545093907,24.22699163332121,22.63310921315646,38.140267927501974,24.034672970843182,37.825059101654844
2019-10-17,11.33203421739274,24.29596907785754,21.83622828784119,80.4587640783433,62.89342904472667,67.05541770057899,8.209201704263963,12.810601877415792,11.108354011579818,38.44114528101803,26.617179215270415,34.94167550371156
2019-10-18,52.37623399023818,47.926464300983326,46.43782383419689,32.368160299460534,34.031637451902526,35.86787564766839,15.255605710301296,18.04189824711415,17.694300518134714,40.225334957369064,25.18270401948843,34.59196102314251
2019-10-19,42.5,37.86644951140065,36.085825747724314,38.49315068493151,36.644951140065146,47.39921976592978,19.006849315068493,25.4885993485342,16.514954486345903,37.43689320388349,23.805825242718445,38.75728155339806
2019-10-20,80.50057647963105,35.785007072135784,58.062259531304655,9.59678452472457,37.62376237623762,24.038125218607906,9.902638995644375,26.59123055162659,17.899615250087443,40.427280197206244,23.212818405916188,36.35990139687757
2019-10-21,39.166873603178544,33.419023136246786,36.996849842492125,38.31015644400298,32.64781491002571,43.262163108155406,22.522969952818475,33.933161953727506,19.74098704935247,39.92109038737446,23.672883787661405,36.40602582496413
2019-10-22,64.77186517828113,58.088851634534784,54.4104609929078,21.85434052237997,23.344509639564123,28.05851063829787,13.373794299338897,18.56663872590109,17.531028368794328,38.67984693877551,22.5765306122449,38.74362244897959
2019-10-23,23.570875606079127,37.52045826513912,20.791537479482034,46.477610724035365,24.181669394435353,53.73882910815247,29.951513669885507,38.297872340425535,25.469633412365493,38.721311475409834,22.42622950819672,38.85245901639344
2019-10-24,78.54100315862593,34.49131513647643,80.08086826984464,10.351380752041312,18.326834455866713,7.579626870965454,11.107616089332756,47.18185040765686,12.339504859189898,36.95518723143032,22.958870472682626,40.085942295887044
2019-10-25,62.807310174776994,41.97651663405088,58.7485779294653,20.955109144970628,27.93542074363992,21.24004550625711,16.237580680252375,30.0880626223092,20.011376564277587,34.831460674157306,22.97752808988764,42.19101123595506
