Date,Positive_nlikes,Positive_nreplies,Positive_nretweets,Negative_nlikes,Negative_nreplies,Negative_nretweets,Neutral_nlikes,Neutral_nreplies,Neutral_nretweets,Positive tweets,Negative tweets,Neutral tweets
2019-10-01,52.36378205128205,57.18157181571816,46.56319290465632,43.16907051282051,36.043360433604335,49.55654101995565,4.467147435897436,6.775067750677507,3.8802660753880267,56.814449917898195,29.064039408866996,14.12151067323481
2019-10-02,48.92341842397336,65.03937007874016,46.80073126142596,45.21642619311876,29.763779527559056,49.54296160877514,5.86015538290788,5.196850393700787,3.656307129798903,57.27002967359051,27.744807121661722,14.985163204747774
2019-10-03,83.08863512778684,76.32367632367632,77.59862778730704,11.103860793909734,14.085914085914085,13.85934819897084,5.807504078303426,9.59040959040959,8.542024013722127,56.56984785615491,28.354080221300137,15.076071922544951
2019-10-04,49.8359983599836,65.20874751491054,57.760989010989015,29.663796637966378,25.447316103379723,32.82967032967033,20.50020500205002,9.343936381709742,9.409340659340659,55.896805896805894,30.22113022113022,13.882063882063882
2019-10-05,55.2012882447665,56.19335347432024,47.85323965651835,35.61996779388084,30.513595166163142,43.559718969555036,9.178743961352657,13.293051359516616,8.58704137392662,55.47024952015355,32.437619961612285,12.092130518234166
2019-10-06,57.52120220205327,50.224215246636774,51.804915514592935,17.244457669989586,20.777279521674142,17.319508448540706,25.23434012795715,28.998505231689087,30.87557603686636,56.12244897959184,30.903790087463555,12.973760932944606
2019-10-07,50.5354003516062,47.57433489827856,45.31697341513292,34.36151510308454,39.749608763693274,35.33742331288344,15.103084545309253,12.67605633802817,19.34560327198364,58.032786885245905,28.0327868852459,13.934426229508198
2019-10-08,78.10618500273672,61.40651801029159,82.08453410182517,17.277869002006934,31.56089193825043,14.79346781940442,4.61594599525634,7.0325900514579756,3.121998078770413,53.24825986078886,34.106728538283065,12.645011600928074
2019-10-09,35.197195442594214,46.8978102189781,36.84701492537314,57.370727432077125,43.613138686131386,55.73694029850746,7.432077125328659,9.489051094890511,7.416044776119403,60.41426927502877,26.352128883774455,13.233601841196778
2019-10-10,18.30783078307831,33.288590604026844,29.40776038121171,80.17101710171018,61.20805369127517,68.41388699795779,1.521152115211521,5.503355704697986,2.178352620830497,56.65859564164649,29.90314769975787,13.438256658595641
2019-10-11,40.433424443576726,35.97285067873303,42.370370370370374,34.43967200312378,44.11764705882353,17.432098765432098,25.126903553299492,19.90950226244344,40.19753086419753,53.80875202593193,29.659643435980552,16.53160453808752
2019-10-12,74.9645390070922,67.1018276762402,79.69208211143695,13.049645390070921,17.754569190600524,9.090909090909092,11.98581560283688,15.143603133159269,11.217008797653959,54.8582995951417,29.959514170040485,15.182186234817813
2019-10-13,74.07063197026022,71.39917695473251,79.12477823772916,20.260223048327138,22.016460905349795,16.02602010644589,5.669144981412639,6.584362139917696,4.849201655824956,56.626506024096386,29.432013769363166,13.941480206540447
2019-10-14,42.750333778371164,56.48148148148148,39.91389913899139,16.929238985313752,24.691358024691358,14.944649446494465,40.32042723631508,18.82716049382716,45.141451414514144,58.69218500797448,26.953748006379584,14.354066985645932
2019-10-15,40.92624626513603,49.494097807757164,44.74050046339203,56.01509671331971,47.13322091062395,53.52177942539388,3.058657021544268,3.372681281618887,1.7377201112140872,54.85564304461942,30.183727034120736,14.960629921259843
2019-10-16,56.02874634016503,74.5631067961165,64.28009441384737,36.332179930795846,20.0,30.291109362706532,7.639073729039127,5.436893203883495,5.428796223446105,56.986301369863014,27.671232876712327,15.342465753424657
2019-10-17,53.65415694020471,61.65644171779141,58.66599292572006,32.78865146345843,28.680981595092025,26.376958059626073,13.557191596336866,9.662576687116564,14.957049014653865,60.73354908306364,26.86084142394822,12.405609492988134
2019-10-18,46.96410600469641,52.72161741835148,54.58015267175573,34.149614223414964,34.52566096423017,32.204198473282446,18.886279771888628,12.752721617418352,13.215648854961833,60.57906458797327,27.06013363028953,12.360801781737194
2019-10-19,68.61202740421213,58.8034188034188,65.7298277425204,24.080182694747528,30.085470085470085,27.83318223028105,7.307789901040345,11.11111111111111,6.43699002719855,58.65384615384615,29.40705128205128,11.939102564102564
2019-10-20,62.874337297607106,58.91980360065467,66.78321678321679,33.027654391746665,34.20621931260229,31.274281274281275,4.098008310646224,6.873977086743044,1.9425019425019425,58.48880597014925,29.011194029850746,12.5
2019-10-21,73.28132973682293,68.37513631406762,79.66101694915254,24.706568491652693,24.972737186477644,19.422061683801054,2.0121017715243856,6.652126499454743,0.9169213670464018,56.566820276497694,29.723502304147466,13.709677419354838
2019-10-22,83.45804382683058,80.69328652917946,76.01408235114036,15.49973276322822,17.288284335234753,23.159344864533903,1.042223409941208,2.0184291355857833,0.8265727843257309,61.159929701230226,28.646748681898067,10.193321616871705
2019-10-23,72.07800121876905,70.01287001287001,78.8538873994638,24.667885435709934,23.294723294723294,18.5656836461126,3.2541133455210236,6.692406692406692,2.5804289544235925,64.0491958372753,27.341532639545886,8.609271523178808
2019-10-24,86.66950102423375,86.7870036101083,83.45669874167284,11.119700073435627,11.624548736462094,13.13841598815692,2.2107989023306147,1.5884476534296028,3.404885270170244,65.29209621993127,25.859106529209622,8.848797250859107
2019-10-25,76.28914307144197,56.386292834890966,78.9521025410389,19.42621413838365,36.24091381100727,17.98965594783,4.284642790174386,7.372793354101765,3.0582415111310994,62.629107981220656,26.666666666666668,10.704225352112676
2019-10-26,69.1304347826087,59.44206008583691,70.02816901408451,21.713554987212277,29.82832618025751,20.732394366197184,9.156010230179028,10.729613733905579,9.23943661971831,57.878787878787875,28.333333333333332,13.787878787878787
