Date,Positive_nlikes,Positive_nreplies,Positive_nretweets,Negative_nlikes,Negative_nreplies,Negative_nretweets,Neutral_nlikes,Neutral_nreplies,Neutral_nretweets,Total_nlikes,Total_nreplies,Total_nretweets
2019-10-01,14823,1558,3579,16284,989,5898,20750,1166,10849,51857,3713,20326
2019-10-02,11470,900,3247,4418,533,1620,7634,920,2409,23522,2353,7276
2019-10-03,24209,1378,4917,7923,1315,3351,4794,597,1304,36926,3290,9572
2019-10-04,11774,1008,4392,5436,698,1821,7740,802,2046,24950,2508,8259
2019-10-05,5407,567,1926,3426,433,1347,5516,620,1989,14349,1620,5262
2019-10-06,13812,770,4195,5473,443,1764,6140,737,2615,25425,1950,8574
2019-10-07,11815,1160,4395,8065,871,2367,17549,655,2559,37429,2686,9321
2019-10-08,13104,1181,4525,5477,692,2336,7658,1155,2256,26239,3028,9117
2019-10-09,10215,946,4343,9059,646,2106,12697,2264,3492,31971,3856,9941
2019-10-10,13184,1363,4783,5112,662,1702,5044,527,1803,23340,2552,8288
2019-10-11,8173,2779,3161,8115,774,1841,12311,1543,3531,28599,5096,8533
2019-10-12,5063,833,1947,2569,416,863,16349,1611,7573,23981,2860,10383
2019-10-13,29425,996,8113,616,105,271,1063,220,374,31104,1321,8758
2019-10-14,11363,8933,3644,4831,447,1967,11990,1392,4136,28184,10772,9747
2019-10-15,8319,755,3153,3809,482,1414,5987,431,1377,18115,1668,5944
2019-10-16,31292,1543,6382,6055,540,2133,11052,666,2491,48399,2749,11006
2019-10-17,6862,880,2640,48721,2278,8107,4971,464,1343,60554,3622,12090
2019-10-18,14272,1121,3585,8820,796,2769,4157,422,1366,27249,2339,7720
2019-10-19,4964,465,1665,4496,450,2187,2220,313,762,11680,1228,4614
2019-10-20,50271,506,6640,5993,532,2749,6184,376,2047,62448,1414,11436
2019-10-21,6309,520,2114,6171,508,2472,3628,528,1128,16108,1556,5714
2019-10-22,23906,1386,7365,8066,557,3798,4936,443,2373,36908,2386,13536
2019-10-23,5785,917,2280,11407,591,5893,7351,936,2793,24543,2444,10966
2019-10-24,59926,973,22578,7898,517,2137,8475,1331,3479,76299,2821,28194
2019-10-25,17321,858,5164,5779,571,1867,4478,615,1759,27578,2044,8790
2019-10-26,9953,514,2236,7205,531,2926,4631,446,1437,21789,1491,6599
2019-10-27,5719,558,1664,15639,527,4183,5251,455,1755,26609,1540,7602
2019-10-28,8131,654,2747,4508,560,1357,4876,680,1787,17515,1894,5891
2019-10-29,9121,674,2942,8710,657,2302,5630,556,1473,23461,1887,6717
2019-10-30,10496,1042,3780,45554,1200,12235,9886,907,3267,65936,3149,19282
