Date,Positive_nlikes,Positive_nreplies,Positive_nretweets,Negative_nlikes,Negative_nreplies,Negative_nretweets,Neutral_nlikes,Neutral_nreplies,Neutral_nretweets,Total_Positive,Total_Negative,Total_Neutral
2015-12-25,12768,430,7281,1359,208,760,3635,360,1904,20479,2327,5899
2015-12-26,2007,199,836,635,134,588,2784,341,1739,3042,1357,4864
2015-12-27,1805,189,890,567,120,558,1260,253,876,2884,1245,2389
2015-12-28,1064,241,633,781,143,835,1120,315,882,1938,1759,2317
2015-12-29,4044,234,1977,658,150,601,860,239,708,6255,1409,1807
2015-12-30,3239,454,1554,613,110,224,669,214,760,5247,947,1643
2015-12-31,806,131,581,397,95,381,1460,238,1134,1518,873,2832
2016-01-01,579,119,334,167,37,89,1244,198,946,1032,293,2388
2016-01-02,592,80,553,246,55,216,900,172,770,1225,517,1842
2016-01-03,779,103,724,221,80,206,879,167,705,1606,507,1751
2016-01-04,530,168,495,268,74,169,1061,196,921,1193,511,2178
2016-01-05,7562,317,2188,515,107,451,1003,216,730,10067,1073,1949
2016-01-06,922,139,552,309,95,278,1224,189,1067,1613,682,2480
2016-01-07,331,76,268,328,62,145,616,163,567,675,535,1346
2016-01-08,696,112,493,425,69,1083,601,125,453,1301,1577,1179
2016-01-09,466,100,337,204,28,158,544,92,481,903,390,1117
2016-01-10,1030,104,1097,313,50,219,659,137,548,2231,582,1344
2016-01-11,390,71,287,477,49,442,645,113,568,748,968,1326
2016-01-12,603,92,380,310,59,168,1058,196,950,1075,537,2204
2016-01-13,5466,333,2783,758,130,545,11112,1372,6725,8582,1433,19209
2016-01-14,860,115,808,313,63,247,1631,295,2020,1783,623,3946
2016-01-15,584,85,417,306,66,224,787,135,777,1086,596,1699
2016-01-16,465,83,467,273,46,309,3033,217,3259,1015,628,6509
2016-01-17,398,117,427,205,54,175,832,199,810,942,434,1841
2016-01-18,582,121,290,238,72,111,2914,266,1968,993,421,5148
2016-01-19,614,87,327,399,80,271,1181,207,1142,1028,750,2530
2016-01-20,2499,1088,2248,774,182,861,1433,307,1619,5835,1817,3359
2016-01-21,629,164,628,735,133,520,1987,342,1581,1421,1388,3910
2016-01-22,1934,217,1175,583,104,516,1755,358,1546,3326,1203,3659
2016-01-23,861,209,491,1483,214,779,3045,556,2027,1561,2476,5628
2016-01-24,978,168,599,440,132,348,1814,327,1217,1745,920,3358
2016-01-25,880,173,1000,463,99,393,6323,516,4726,2053,955,11565
2016-01-26,607,101,392,389,75,369,1942,210,1238,1100,833,3390
2016-01-27,412,125,439,326,57,195,1362,214,1220,976,578,2796
2016-01-28,428,85,201,197,37,99,1040,206,1009,714,333,2255
2016-01-29,787,84,491,357,75,307,6643,653,4693,1362,739,11989
2016-01-30,335,53,403,219,60,145,680,128,733,791,424,1541
2016-01-31,707,111,456,403,77,421,796,146,506,1274,901,1448
2016-02-01,5469,173,2075,430,67,148,1273,239,984,7717,645,2496
2016-02-02,1105,100,501,518,107,304,2057,324,1306,1706,929,3687
2016-02-03,1049,195,625,460,65,279,1949,192,1523,1869,804,3664
2016-02-04,679,103,407,261,62,144,851,210,858,1189,467,1919
2016-02-05,487,96,336,452,91,241,1003,297,1337,919,784,2637
2016-02-06,753,68,522,447,52,418,448,121,414,1343,917,983
2016-02-07,2513,130,1191,224,49,201,644,140,455,3834,474,1239
2016-02-08,522,111,405,861,55,584,429,122,375,1038,1500,926
2016-02-09,515,99,416,248,46,174,2607,278,2154,1030,468,5039
2016-02-10,888,103,444,1099,70,730,876,185,894,1435,1899,1955
2016-02-11,399,72,318,374,136,462,5046,280,2993,789,972,8319
2016-02-12,509,90,389,298,99,317,761,144,663,988,714,1568
2016-02-13,347,61,285,607,78,216,1024,205,861,693,901,2090
2016-02-14,544,100,318,357,60,202,1439,219,859,962,619,2517
2016-02-15,1564,98,1336,444,132,518,614,120,517,2998,1094,1251
2016-02-16,562,97,475,281,85,350,932,147,925,1134,716,2004
2016-02-17,680,79,616,255,78,204,982,241,981,1375,537,2204
2016-02-18,422,51,174,131,15,57,668,90,634,647,203,1392
2016-02-19,2591,338,1157,247,48,117,889,163,904,4086,412,1956
2016-02-20,745,88,333,460,45,249,1063,129,1074,1166,754,2266
2016-02-21,406,66,360,239,37,208,1075,144,903,832,484,2122
2016-02-22,343,52,309,317,45,243,1034,139,947,704,605,2120
2016-02-23,8047,381,1486,344,65,380,1379,186,1390,9914,789,2955
2016-02-24,443,79,431,237,49,133,774,164,654,953,419,1592
2016-02-25,707,120,992,330,73,337,3264,166,1749,1819,740,5179
2016-02-26,480,101,484,307,54,310,587,103,741,1065,671,1431
2016-02-27,516,116,490,314,57,351,503,118,494,1122,722,1115
2016-02-28,595,89,543,226,53,167,1970,124,1303,1227,446,3397
2016-02-29,9342,527,4555,3373,204,1235,5340,801,2814,14424,4812,8955
2016-03-01,3420,227,1924,644,75,411,981,229,886,5571,1130,2096
2016-03-02,1977,212,1465,594,87,673,1152,186,964,3654,1354,2302
2016-03-03,769,134,525,478,91,289,987,187,743,1428,858,1917
