Date,Negative,Positive,Neutral,Total,Percentage_neg,Percentage_pos,Percentage_neutr
2019-10-01,1195,2014,2204,5413,22.07648254202845,37.20672455200443,40.71679290596711
2019-10-02,1142,1843,2187,5172,22.08043310131477,35.63418406805878,42.28538283062645
2019-10-03,1255,1752,1877,4884,25.696150696150692,35.872235872235876,38.43161343161343
2019-10-04,1188,1715,1699,4602,25.814863102998697,37.26640591047371,36.9187309865276
2019-10-05,865,1201,1369,3435,25.181950509461426,34.96360989810772,39.85443959243086
2019-10-06,719,1087,1413,3219,22.336129232680957,33.76825100963032,43.89561975768873
2019-10-07,1048,1546,1628,4222,24.82235907153008,36.61771672193274,38.55992420653719
2019-10-08,1112,1722,1742,4576,24.3006993006993,37.63111888111888,38.06818181818182
2019-10-09,965,1569,1561,4095,23.565323565323563,38.31501831501832,38.11965811965812
2019-10-10,999,1722,1652,4373,22.844729018980107,39.3780013720558,37.7772696089641
2019-10-11,1062,1642,1708,4412,24.070716228467816,37.216681776971896,38.712601994560295
2019-10-12,896,1253,1424,3573,25.07696613490064,35.06856982927512,39.854464035824236
2019-10-13,211,350,382,943,22.375397667020145,37.11558854718982,40.50901378579003
2019-10-14,802,1195,1303,3300,24.303030303030305,36.21212121212121,39.484848484848484
2019-10-15,830,1301,1278,3409,24.34731592842476,38.1636843649164,37.488999706658845
2019-10-16,915,1452,1440,3807,24.034672970843186,38.14026792750197,37.825059101654844
2019-10-17,1004,1450,1318,3772,26.617179215270415,38.44114528101803,34.94167550371156
2019-10-18,827,1321,1136,3284,25.182704019488426,40.225334957369064,34.59196102314251
2019-10-19,613,964,998,2575,23.805825242718445,37.4368932038835,38.75728155339806
2019-10-20,565,984,885,2434,23.212818405916188,40.427280197206244,36.35990139687757
2019-10-21,660,1113,1015,2788,23.672883787661405,39.92109038737446,36.40602582496413
2019-10-22,708,1213,1215,3136,22.5765306122449,38.67984693877551,38.74362244897959
2019-10-23,684,1181,1185,3050,22.42622950819672,38.721311475409834,38.85245901639344
2019-10-24,748,1204,1306,3258,22.958870472682626,36.95518723143032,40.085942295887044
2019-10-25,818,1240,1502,3560,22.97752808988764,34.831460674157306,42.19101123595506
2019-10-26,669,1003,1017,2689,24.879137225734475,37.300111565637785,37.82075120862775
2019-10-27,615,923,1059,2597,23.68117058144012,35.541008856372734,40.77782056218714
2019-10-28,781,1153,1209,3143,24.848870505886094,36.68469615017499,38.46643334393891
2019-10-29,894,1223,1214,3331,26.838787151005704,36.715700990693485,36.44551185830081
2019-10-30,1134,1628,1667,4429,25.603973808986225,36.75773312260104,37.63829306841273
2019-10-31,1113,1405,1534,4052,27.467917077986183,34.67423494570582,37.857847976307994
2019-11-01,849,1178,1306,3333,25.472547254725477,35.34353435343534,39.183918391839185
2019-11-02,693,944,1087,2724,25.440528634361232,34.65491923641703,39.904552129221734
2019-11-03,713,1019,933,2665,26.75422138836773,38.23639774859287,35.009380863039404
2019-11-04,910,1398,1527,3835,23.728813559322035,36.45371577574967,39.81747066492829
2019-11-05,1121,1641,2262,5024,22.312898089171977,32.663216560509554,45.02388535031847
2019-11-06,977,1534,1904,4415,22.129105322763305,34.74518686296716,43.12570781426954
2019-11-07,929,1436,1553,3918,23.711077080142932,36.651352730985195,39.63757018887188
2019-11-08,1014,1420,1467,3901,25.993335042296845,36.40092284029736,37.605742117405796
2019-11-09,1001,1227,1322,3550,28.197183098591548,34.563380281690144,37.239436619718305
2019-11-10,977,1256,1393,3626,26.94429123000552,34.63872035300607,38.41698841698842
2019-11-11,1102,1431,1587,4120,26.74757281553398,34.73300970873787,38.519417475728154
2019-11-12,1318,1596,1934,4848,27.186468646864686,32.92079207920792,39.89273927392739
2019-11-13,1219,1598,1981,4798,25.406419341392244,33.30554397665694,41.288036681950814
2019-11-14,1072,1406,1647,4125,25.98787878787879,34.084848484848486,39.92727272727273
2019-11-15,850,1191,1403,3444,24.680603948896632,34.58188153310105,40.73751451800232
2019-11-16,634,931,986,2551,24.85299882399059,36.49549196393571,38.6515092120737
2019-11-17,659,945,1094,2698,24.425500370644922,35.02594514455152,40.54855448480355
2019-11-18,796,1205,1258,3259,24.42467014421602,36.97453206505063,38.60079779073335
2019-11-19,824,1214,1412,3450,23.884057971014492,35.18840579710145,40.92753623188406
2019-11-20,764,1252,1350,3366,22.69756387403446,37.19548425430778,40.106951871657756
2019-11-21,883,1383,1479,3745,23.578104138851803,36.92923898531375,39.49265687583445
2019-11-22,684,1073,1139,2896,23.61878453038674,37.05110497237569,39.33011049723757
2019-11-23,694,942,1053,2689,25.808850873930826,35.031610264038676,39.159538862030494
2019-11-24,695,1033,1094,2822,24.627923458540042,36.60524450744153,38.76683203401843
2019-11-25,818,1152,1163,3133,26.109160548994577,36.76986913501437,37.120970315991066
2019-11-26,1099,1516,1479,4094,26.84416218856864,37.02979970688813,36.126038104543234
2019-11-27,1002,1385,1727,4114,24.355858045697616,33.66553232863394,41.97860962566845
2019-11-28,1074,1470,1882,4426,24.265702666064165,33.21283325802079,42.52146407591505
2019-11-29,934,1481,1878,4293,21.756347542511065,34.49802003261123,43.745632424877705
2019-11-30,749,1066,1357,3172,23.612862547288778,33.60655737704918,42.780580075662044
2019-12-01,873,1214,1423,3510,24.871794871794872,34.58689458689459,40.541310541310544
2019-12-02,1019,1725,1758,4502,22.634384717903156,38.316303864948914,39.04931141714793
2019-12-03,1122,1806,1777,4705,23.846971307120086,38.384697130712006,37.76833156216791
2019-12-04,1160,1927,1696,4783,24.25256115408739,40.28852184821242,35.45891699770019
2019-12-05,1044,1960,1669,4673,22.341108495613096,41.94307725230045,35.71581425208645
2019-12-06,902,1709,1466,4077,22.12411086583272,41.91807701741477,35.957812116752514
2019-12-07,841,1485,1358,3684,22.82844733984799,40.30944625407166,36.86210640608035
2019-12-08,720,1233,1221,3174,22.68431001890359,38.8468809073724,38.46880907372401
2019-12-09,1287,1610,1461,4358,29.53189536484626,36.94355208811381,33.524552547039924
2019-12-10,1294,1719,1441,4454,29.052537045352494,38.59452177817692,32.35294117647059
2019-12-11,1399,2589,1741,5729,24.41961947983941,45.19113283295514,30.389247687205444
2019-12-12,1470,2247,1834,5551,26.48171500630517,40.47919293820933,33.0390920554855
2019-12-13,1105,1688,1559,4352,25.390625,38.786764705882355,35.822610294117645
2019-12-14,960,1410,1208,3578,26.830631637786475,39.407490217998884,33.76187814421465
2019-12-15,1107,1298,1396,3801,29.123914759273877,34.148908182057355,36.72717705866877
2019-12-16,1047,1330,1508,3885,26.94980694980695,34.234234234234236,38.815958815958815
2019-12-17,820,1230,1225,3275,25.0381679389313,37.55725190839695,37.404580152671755
2019-12-18,828,1118,1279,3225,25.674418604651162,34.66666666666667,39.65891472868217
2019-12-19,865,1215,1326,3406,25.396359365825017,35.672342924251325,38.93129770992366
2019-12-20,795,1242,1335,3372,23.576512455516013,36.83274021352313,39.59074733096085
2019-12-21,701,1016,1017,2734,25.640087783467447,37.16166788588149,37.19824433065106
2019-12-22,792,1076,1047,2915,27.169811320754718,36.912521440823326,35.917667238421956
2019-12-23,816,1215,1228,3259,25.038355323718932,37.281374654802086,37.680270021478975
2019-12-24,736,1158,1177,3071,23.9661348095083,37.70758710517747,38.32627808531423
2019-12-25,543,965,1030,2538,21.39479905437352,38.0220646178093,40.58313632781718
2019-12-26,775,1285,1254,3314,23.385636692818345,38.7748943874472,37.83946891973446
