Date,Positive_nlikes,Positive_nreplies,Positive_nretweets,Negative_nlikes,Negative_nreplies,Negative_nretweets,Neutral_nlikes,Neutral_nreplies,Neutral_nretweets,Total_nlikes,Total_nreplies,Total_nretweets
2019-12-29,544,128,87,4588,873,5155,367,76,116,5499,1077,5358
2019-12-30,1844,200,793,1224,114,316,396,41,157,3464,355,1266
2019-12-31,1518,168,373,251,76,60,99,20,43,1868,264,476
2020-01-01,900,110,177,200,45,35,1116,60,590,2216,215,802
2020-01-02,1293,192,428,269,47,62,2346,357,1104,3908,596,1594
2020-01-03,1869,711,998,1000,95,214,3736,2828,529,6605,3634,1741
2020-01-04,1879,314,306,423,60,47,205,37,42,2507,411,395
2020-01-05,676,148,210,188,65,29,70,34,31,934,247,270
2020-01-06,1550,199,419,323,101,53,184,43,35,2057,343,507
2020-01-07,40056,595,8998,1338,91,152,763,65,101,42157,751,9251
2020-01-08,11696,889,4328,1750,202,621,2935,780,699,16381,1871,5648
2020-01-09,1740,176,230,854,87,199,1113,73,193,3707,336,622
2020-01-10,6558,352,1620,2590,148,186,1453,156,304,10601,656,2110
2020-01-11,2889,211,697,633,95,87,437,35,99,3959,341,883
2020-01-12,5236,299,1166,4713,194,491,325,37,42,10274,530,1699
2020-01-13,9888,426,1847,2412,187,424,1331,70,464,13631,683,2735
2020-01-14,2516,235,536,1176,100,356,392,72,117,4084,407,1009
2020-01-15,5221,410,959,5663,115,374,773,123,167,11657,648,1500
2020-01-16,8112,361,2071,499,66,65,998,159,666,9609,586,2802
2020-01-17,4250,501,981,10504,1050,1617,387,47,129,15141,1598,2727
2020-01-18,3149,236,506,2560,129,151,750,43,108,6459,408,765
2020-01-19,2549,200,271,4077,205,233,619,57,84,7245,462,588
2020-01-20,3463,249,646,943,110,173,225,41,55,4631,400,874
2020-01-21,1272,171,214,1689,161,353,366,57,123,3327,389,690
2020-01-22,5145,293,870,758,82,145,913,46,173,6816,421,1188
2020-01-23,1633,190,272,554,100,127,413,257,129,2600,547,528
2020-01-24,795,170,214,438,86,73,875,87,407,2108,343,694
2020-01-25,1311,117,270,768,82,131,253,34,121,2332,233,522
2020-01-26,1391,146,203,1684,167,518,859,51,234,3934,364,955
2020-01-27,3500,188,688,681,261,154,997,88,245,5178,537,1087
2020-01-28,3476,820,897,497,73,137,852,78,295,4825,971,1329
2020-01-29,3228,295,668,2108,114,489,917,69,188,6253,478,1345
2020-01-30,3667,434,627,2763,85,335,594,71,112,7024,590,1074
2020-01-31,3179,289,590,1930,165,310,934,95,220,6043,549,1120
2020-02-01,2692,218,694,533,58,59,489,39,139,3714,315,892
