Date,Positive_nlikes,Positive_nreplies,Positive_nretweets,Negative_nlikes,Negative_nreplies,Negative_nretweets,Neutral_nlikes,Neutral_nreplies,Neutral_nretweets,Total_nlikes,Total_nreplies,Total_nretweets
2019-10-01,2614,211,840,2155,133,894,223,25,70,4992,369,1804
2019-10-02,2204,413,768,2037,189,813,264,33,60,4505,635,1641
2019-10-03,7640,764,2262,1021,141,404,534,96,249,9195,1001,2915
2019-10-04,2431,328,841,1447,128,478,1000,47,137,4878,503,1456
2019-10-05,1714,186,613,1106,101,558,285,44,110,3105,331,1281
2019-10-06,3866,336,1349,1159,139,451,1696,194,804,6721,669,2604
2019-10-07,3162,304,1108,2150,254,864,945,81,473,6257,639,2445
2019-10-08,4281,358,1709,947,184,308,253,41,65,5481,583,2082
2019-10-09,2008,257,790,3273,239,1195,424,52,159,5705,548,2144
2019-10-10,2034,248,864,8907,456,2010,169,41,64,11110,745,2938
2019-10-11,2071,159,858,1764,195,353,1287,88,814,5122,442,2025
2019-10-12,2114,257,1087,368,68,124,338,58,153,2820,383,1364
2019-10-13,3188,347,1338,872,107,271,244,32,82,4304,486,1691
2019-10-14,1601,183,649,634,80,243,1510,61,734,3745,324,1626
2019-10-15,5205,587,1931,7124,559,2310,389,40,75,12718,1186,4316
2019-10-16,2105,384,817,1365,103,385,287,28,69,3757,515,1271
2019-10-17,2988,402,1161,1826,187,522,755,63,296,5569,652,1979
2019-10-18,2800,339,1144,2036,222,675,1126,82,277,5962,643,2096
2019-10-19,2704,344,725,949,176,307,288,65,71,3941,585,1103
2019-10-20,4388,360,1719,2305,209,805,286,42,50,6979,611,2574
2019-10-21,10052,627,5734,3389,229,1398,276,61,66,13717,917,7198
2019-10-22,15615,1839,4966,2900,394,1513,195,46,54,18710,2279,6533
2019-10-23,5914,544,2353,2024,181,554,267,52,77,8205,777,2984
2019-10-24,22424,2404,6765,2877,322,1065,572,44,276,25873,2770,8106
2019-10-25,8137,543,3511,2072,349,800,457,71,136,10666,963,4447
2019-10-26,2703,277,1243,849,139,368,358,50,164,3910,466,1775
2019-10-27,5660,563,1909,754,103,268,316,30,117,6730,696,2294
