Date,Negative,Positive,Neutral,Total,Percentage_neg,Percentage_pos,Percentage_neutr
2015-12-02,64,196,88,348,18.39080459770115,56.32183908045977,25.287356321839084
2015-12-03,70,182,103,355,19.718309859154928,51.267605633802816,29.014084507042252
2015-12-04,91,219,89,399,22.807017543859647,54.88721804511278,22.305764411027567
2015-12-05,26,143,48,217,11.981566820276496,65.89861751152074,22.119815668202765
2015-12-06,54,126,53,233,23.17596566523605,54.077253218884124,22.746781115879827
2015-12-07,40,195,105,340,11.76470588235294,57.35294117647059,30.88235294117647
2015-12-08,43,247,118,408,10.53921568627451,60.5392156862745,28.921568627450984
2015-12-09,84,213,90,387,21.705426356589147,55.03875968992248,23.25581395348837
2015-12-10,74,214,82,370,20.0,57.83783783783784,22.162162162162165
2015-12-11,27,197,63,287,9.40766550522648,68.6411149825784,21.951219512195124
2015-12-12,30,159,68,257,11.673151750972762,61.86770428015564,26.459143968871597
2015-12-13,37,179,93,309,11.974110032362459,57.92880258899677,30.097087378640776
2015-12-14,59,228,123,410,14.390243902439023,55.60975609756098,30.0
2015-12-15,37,184,103,324,11.419753086419753,56.79012345679012,31.790123456790127
2015-12-16,112,248,105,465,24.086021505376344,53.333333333333336,22.58064516129032
2015-12-17,56,218,105,379,14.775725593667547,57.519788918205805,27.70448548812665
2015-12-18,41,213,93,347,11.815561959654179,61.38328530259366,26.801152737752158
2015-12-19,35,176,39,250,14.000000000000002,70.39999999999999,15.6
2015-12-20,29,148,81,258,11.24031007751938,57.36434108527132,31.3953488372093
2015-12-21,29,182,64,275,10.545454545454545,66.18181818181819,23.272727272727273
2015-12-22,34,177,78,289,11.76470588235294,61.245674740484425,26.989619377162633
2015-12-23,43,166,77,286,15.034965034965033,58.04195804195804,26.923076923076923
2015-12-24,42,155,97,294,14.285714285714285,52.721088435374156,32.99319727891156
2015-12-25,19,90,31,140,13.571428571428571,64.28571428571429,22.142857142857142
2015-12-26,31,119,41,191,16.230366492146597,62.30366492146597,21.465968586387437
2015-12-27,23,112,78,213,10.7981220657277,52.58215962441315,36.61971830985916
2015-12-28,32,143,68,243,13.168724279835391,58.8477366255144,27.983539094650205
2015-12-29,49,192,72,313,15.654952076677317,61.34185303514377,23.003194888178914
2015-12-30,41,237,167,445,9.213483146067416,53.25842696629214,37.52808988764045
2015-12-31,36,160,97,293,12.286689419795222,54.60750853242321,33.105802047781566
2016-01-01,29,142,82,253,11.462450592885375,56.126482213438734,32.41106719367589
2016-01-02,55,216,287,558,9.85663082437276,38.70967741935484,51.4336917562724
2016-01-03,34,140,88,262,12.977099236641221,53.43511450381679,33.587786259541986
2016-01-04,78,181,680,939,8.30670926517572,19.275825346112885,72.4174653887114
2016-01-05,182,289,145,616,29.545454545454547,46.91558441558442,23.53896103896104
2016-01-06,186,336,141,663,28.054298642533936,50.678733031674206,21.266968325791854
2016-01-07,65,232,168,465,13.978494623655912,49.89247311827957,36.12903225806451
2016-01-08,60,182,140,382,15.706806282722512,47.64397905759162,36.64921465968586
2016-01-09,46,188,89,323,14.241486068111456,58.204334365325074,27.55417956656347
2016-01-10,50,212,130,392,12.755102040816327,54.08163265306123,33.16326530612245
2016-01-11,53,150,139,342,15.497076023391813,43.859649122807014,40.643274853801174
2016-01-12,33,142,80,255,12.941176470588237,55.68627450980392,31.372549019607842
2016-01-13,30,217,116,363,8.264462809917356,59.77961432506888,31.955922865013775
2016-01-14,98,227,175,500,19.6,45.4,35.0
2016-01-15,93,217,124,434,21.428571428571427,50.0,28.57142857142857
2016-01-16,37,127,114,278,13.309352517985612,45.68345323741007,41.007194244604314
2016-01-17,47,153,103,303,15.51155115511551,50.495049504950494,33.993399339933994
2016-01-18,59,131,85,275,21.454545454545453,47.63636363636364,30.909090909090907
2016-01-19,62,249,103,414,14.975845410628018,60.14492753623188,24.879227053140095
2016-01-20,88,299,195,582,15.120274914089347,51.37457044673539,33.50515463917525
2016-01-21,148,445,98,691,21.41823444283647,64.39942112879883,14.182344428364688
2016-01-22,74,243,135,452,16.371681415929203,53.76106194690266,29.867256637168143
2016-01-23,48,176,113,337,14.243323442136498,52.22551928783383,33.531157270029674
2016-01-24,42,113,88,243,17.28395061728395,46.50205761316872,36.21399176954733
2016-01-25,42,150,108,300,14.000000000000002,50.0,36.0
2016-01-26,51,215,125,391,13.043478260869565,54.987212276214834,31.9693094629156
2016-01-27,50,203,128,381,13.123359580052494,53.28083989501312,33.59580052493438
2016-01-28,66,218,160,444,14.864864864864865,49.0990990990991,36.03603603603604
2016-01-29,46,186,146,378,12.16931216931217,49.2063492063492,38.62433862433862
2016-01-30,67,181,153,401,16.708229426433917,45.137157107231914,38.15461346633416
2016-01-31,42,147,113,302,13.90728476821192,48.675496688741724,37.41721854304636
2016-02-01,49,199,141,389,12.596401028277635,51.156812339331616,36.246786632390744
2016-02-02,54,207,173,434,12.442396313364055,47.69585253456221,39.86175115207373
2016-02-03,56,223,249,528,10.606060606060606,42.234848484848484,47.159090909090914
2016-02-04,52,193,133,378,13.756613756613756,51.05820105820106,35.18518518518518
2016-02-05,46,266,174,486,9.465020576131687,54.73251028806584,35.80246913580247
2016-02-06,46,173,117,336,13.690476190476192,51.488095238095234,34.82142857142857
2016-02-07,46,162,97,305,15.081967213114755,53.11475409836065,31.80327868852459
2016-02-08,64,420,106,590,10.847457627118644,71.1864406779661,17.966101694915253
2016-02-09,86,302,138,526,16.34980988593156,57.414448669201526,26.23574144486692
2016-02-10,60,268,139,467,12.84796573875803,57.38758029978587,29.764453961456105
2016-02-11,70,180,110,360,19.444444444444446,50.0,30.555555555555557
2016-02-12,593,382,301,1276,46.47335423197492,29.93730407523511,23.58934169278997
2016-02-13,71,138,104,313,22.683706070287542,44.08945686900959,33.22683706070288
2016-02-14,52,134,78,264,19.696969696969695,50.75757575757576,29.545454545454547
2016-02-15,67,176,155,398,16.834170854271356,44.221105527638194,38.94472361809046
2016-02-16,69,283,154,506,13.636363636363635,55.92885375494071,30.434782608695656
2016-02-17,54,224,124,402,13.432835820895523,55.72139303482587,30.845771144278604
2016-02-18,84,196,147,427,19.672131147540984,45.90163934426229,34.42622950819672
2016-02-19,160,146,175,481,33.264033264033266,30.353430353430355,36.38253638253639
2016-02-20,64,145,132,341,18.7683284457478,42.52199413489736,38.70967741935484
2016-02-21,60,192,158,410,14.634146341463413,46.82926829268293,38.53658536585366
2016-02-22,61,218,160,439,13.895216400911162,49.65831435079727,36.44646924829157
2016-02-23,44,202,139,385,11.428571428571429,52.467532467532465,36.103896103896105
2016-02-24,47,181,99,327,14.37308868501529,55.35168195718655,30.275229357798167
2016-02-25,66,263,134,463,14.254859611231103,56.803455723542115,28.94168466522678
2016-02-26,70,175,125,370,18.91891891891892,47.2972972972973,33.78378378378378
2016-02-27,51,129,77,257,19.844357976653697,50.19455252918288,29.961089494163424
2016-02-28,43,131,112,286,15.034965034965033,45.8041958041958,39.16083916083916
2016-02-29,40,186,81,307,13.029315960912053,60.586319218241044,26.384364820846905
2016-03-01,41,196,109,346,11.849710982658959,56.64739884393064,31.502890173410403
2016-03-02,47,136,87,270,17.40740740740741,50.37037037037037,32.22222222222222
2016-03-03,45,179,92,316,14.240506329113925,56.64556962025317,29.11392405063291
2016-03-04,76,206,142,424,17.92452830188679,48.58490566037736,33.490566037735846
2016-03-05,30,158,104,292,10.273972602739725,54.109589041095894,35.61643835616438
2016-03-06,39,98,102,239,16.317991631799163,41.00418410041841,42.67782426778243
2016-03-07,62,168,167,397,15.617128463476071,42.31738035264483,42.0654911838791
2016-03-08,99,266,343,708,13.983050847457626,37.570621468926554,48.44632768361582
2016-03-09,54,154,174,382,14.136125654450263,40.31413612565445,45.54973821989529
2016-03-10,70,205,210,485,14.432989690721648,42.2680412371134,43.29896907216495
2016-03-11,51,214,149,414,12.318840579710146,51.690821256038646,35.990338164251206
2016-03-12,18,161,122,301,5.980066445182724,53.48837209302325,40.53156146179402
2016-03-13,52,178,147,377,13.793103448275861,47.214854111405835,38.9920424403183
2016-03-14,62,194,149,405,15.308641975308642,47.901234567901234,36.79012345679013
2016-03-15,38,248,145,431,8.816705336426914,57.540603248259856,33.64269141531322
2016-03-16,45,219,110,374,12.032085561497325,58.55614973262032,29.411764705882355
2016-03-17,50,154,111,315,15.873015873015872,48.888888888888886,35.23809523809524
2016-03-18,37,155,119,311,11.89710610932476,49.839228295819936,38.263665594855304
2016-03-19,39,150,135,324,12.037037037037036,46.2962962962963,41.66666666666667
2016-03-20,52,159,150,361,14.40443213296399,44.04432132963989,41.55124653739612
2016-03-21,36,173,153,362,9.94475138121547,47.790055248618785,42.26519337016575
2016-03-22,62,223,189,474,13.080168776371309,47.04641350210971,39.87341772151899
2016-03-23,49,216,143,408,12.009803921568627,52.94117647058824,35.049019607843135
2016-03-24,42,209,164,415,10.120481927710843,50.36144578313253,39.51807228915663
2016-03-25,53,132,100,285,18.596491228070175,46.31578947368421,35.08771929824561
2016-03-26,59,151,153,363,16.2534435261708,41.59779614325069,42.14876033057851
2016-03-27,46,123,155,324,14.19753086419753,37.96296296296296,47.839506172839506
2016-03-28,39,149,106,294,13.26530612244898,50.68027210884354,36.054421768707485
2016-03-29,41,132,134,307,13.355048859934854,42.99674267100978,43.648208469055376
2016-03-30,38,176,126,340,11.176470588235295,51.76470588235295,37.05882352941177
2016-03-31,45,166,584,795,5.660377358490567,20.88050314465409,73.45911949685534
2016-04-01,29,157,116,302,9.602649006622517,51.98675496688742,38.41059602649007
2016-04-02,23,106,61,190,12.105263157894736,55.78947368421052,32.10526315789474
2016-04-03,35,134,91,260,13.461538461538462,51.53846153846153,35.0
