Date,Negative,Positive,Neutral,Total,Percentage_neg,Percentage_pos,Percentage_neutr
2015-10-01,583,874,1566,3023,19.28547800198478,28.91167714191201,51.80284485610321
2015-10-02,525,742,1556,2823,18.597236981934113,26.28409493446688,55.11866808359901
2015-10-03,332,476,1377,2185,15.194508009153317,21.784897025171624,63.02059496567506
2015-10-04,520,528,1416,2464,21.1038961038961,21.428571428571427,57.467532467532465
2015-10-05,631,958,2246,3835,16.453715775749675,24.980443285528033,58.56584093872229
2015-10-06,682,1338,2367,4387,15.545931160246182,30.499202188283565,53.954866651470255
2015-10-07,502,793,1404,2699,18.59948128936643,29.381252315672473,52.01926639496109
2015-10-08,587,1003,1666,3256,18.028255528255528,30.804668304668304,51.16707616707616
2015-10-09,420,761,1534,2715,15.469613259668508,28.029465930018414,56.50092081031307
2015-10-10,268,380,787,1435,18.67595818815331,26.480836236933797,54.843205574912886
2015-10-11,285,458,834,1577,18.072289156626507,29.042485732403296,52.885225110970204
2015-10-12,806,941,2034,3781,21.317111875165303,24.88759587410738,53.79529225072732
2015-10-13,654,1138,2093,3885,16.833976833976834,29.292149292149293,53.873873873873876
2015-10-14,576,826,1703,3105,18.55072463768116,26.60225442834139,54.847020933977454
2015-10-15,490,792,1639,2921,16.775077028414927,27.114002054091063,56.11092091749401
2015-10-16,503,577,1357,2437,20.640131308986458,23.676651620845302,55.68321707016825
2015-10-17,295,341,999,1635,18.04281345565749,20.856269113149846,61.100917431192656
2015-10-18,352,524,1091,1967,17.89527198779868,26.63955261820031,55.46517539400102
2015-10-19,492,730,2066,3288,14.963503649635038,22.201946472019465,62.834549878345506
2015-10-20,577,1370,2422,4369,13.206683451590754,31.357289997711145,55.4360265506981
2015-10-21,642,964,2137,3743,17.152017098584025,25.75474218541277,57.0932407160032
2015-10-22,587,783,1917,3287,17.858229388500153,23.821113477334958,58.32065713416489
2015-10-23,437,671,1785,2893,15.105426892499136,23.193916349809886,61.70065675769097
2015-10-24,269,506,1078,1853,14.516999460334592,27.30706961683756,58.175930922827845
2015-10-25,343,500,1200,2043,16.78903573176701,24.473813020068526,58.737151248164466
2015-10-26,751,685,1774,3210,23.39563862928349,21.339563862928348,55.26479750778817
2015-10-27,512,694,1858,3064,16.710182767624023,22.650130548302872,60.639686684073105
2015-10-28,583,769,2286,3638,16.025288620120946,21.13798790544255,62.8367234744365
2015-10-29,644,802,1876,3322,19.38591210114389,24.142083082480433,56.47200481637567
2015-10-30,484,703,1937,3124,15.492957746478872,22.503201024327783,62.00384122919335
2015-10-31,261,329,917,1507,17.319177173191772,21.831453218314532,60.849369608493696
2015-11-01,281,468,1122,1871,15.018706574024584,25.013361838588988,59.967931587386424
2015-11-02,398,793,1354,2545,15.638506876227897,31.159135559921413,53.20235756385069
2015-11-03,521,1087,1369,2977,17.50083977158213,36.51326839099765,45.985891837420226
2015-11-04,630,875,2731,4236,14.872521246458922,20.656279508970727,64.47119924457036
2015-11-05,425,666,2118,3209,13.244001246494236,20.754129012153317,66.00186974135245
2015-11-06,348,613,1658,2619,13.287514318442154,23.405880106911034,63.30660557464681
2015-11-07,270,512,1090,1872,14.423076923076922,27.350427350427353,58.22649572649573
2015-11-08,415,538,1194,2147,19.329296693060083,25.05822077317187,55.612482533768045
2015-11-09,542,905,2100,3547,15.280518748237949,25.51451931209473,59.20496193966732
2015-11-10,477,1147,2263,3887,12.271674813480834,29.508618471829173,58.21970671468999
2015-11-11,795,707,2118,3620,21.96132596685083,19.530386740331494,58.508287292817684
2015-11-12,645,1486,4141,6272,10.283801020408163,23.692602040816325,66.02359693877551
2015-11-13,649,840,2422,3911,16.59422142674508,21.47788289440041,61.92789567885452
2015-11-14,459,383,1315,2157,21.279554937413074,17.756142790913305,60.96430227167362
2015-11-15,226,324,892,1442,15.672676837725383,22.46879334257975,61.858529819694866
2015-11-16,454,747,1500,2701,16.808589411329137,27.656423546834507,55.53498704183636
2015-11-17,391,683,1652,2726,14.34336023477623,25.05502567865004,60.60161408657373
2015-11-18,497,626,1475,2598,19.130100076982295,24.09545804464973,56.77444187836797
2015-11-19,668,667,2143,3478,19.20644048303623,19.177688326624498,61.61587119033928
2015-11-20,418,614,1301,2333,17.916845263609087,26.318045435062153,55.76510930132876
2015-11-21,263,480,966,1709,15.389116442363957,28.086600351082502,56.52428320655354
2015-11-22,298,711,1201,2210,13.484162895927602,32.171945701357465,54.34389140271493
2015-11-23,447,666,1703,2816,15.873579545454545,23.650568181818183,60.47585227272727
2015-11-24,363,573,1720,2656,13.667168674698797,21.57379518072289,64.7590361445783
2015-11-25,548,832,2025,3405,16.093979441997064,24.43465491923642,59.471365638766514
2015-11-26,575,935,2239,3749,15.337423312883436,24.939983995732195,59.72259269138437
2015-11-27,425,685,2075,3185,13.343799058084773,21.50706436420722,65.149136577708
2015-11-28,397,486,1517,2400,16.541666666666664,20.25,63.208333333333336
2015-11-29,347,461,1309,2117,16.39111950873878,21.77609825224374,61.83278223901748
2015-11-30,520,1093,1969,3582,14.517029592406477,30.513679508654384,54.969290898939136
2015-12-01,448,896,2045,3389,13.219238713484804,26.43847742696961,60.34228385954559
2015-12-02,1466,1704,4691,7861,18.649026841368784,21.676631471822922,59.6743416868083
2015-12-03,1370,1296,3137,5803,23.608478373255213,22.33327589178011,54.05824573496467
2015-12-04,678,873,1637,3188,21.267252195734002,27.383939774153077,51.34880803011293
2015-12-05,363,433,1040,1836,19.77124183006536,23.583877995642702,56.644880174291934
2015-12-06,484,412,972,1868,25.910064239828696,22.055674518201286,52.03426124197003
2015-12-07,356,572,1427,2355,15.116772823779193,24.28874734607219,60.594479830148614
2015-12-08,497,610,1524,2631,18.890155834283544,23.185100722158875,57.92474344355758
2015-12-09,480,733,2352,3565,13.464235624123422,20.56100981767181,65.97475455820478
2015-12-10,611,801,2114,3526,17.328417470221215,22.716959727736814,59.95462280204198
2015-12-11,358,632,1480,2470,14.493927125506072,25.587044534412957,59.91902834008097
2015-12-12,267,359,1320,1946,13.720452209660843,18.448098663926,67.83144912641316
2015-12-13,300,657,1346,2303,13.026487190620928,28.528006947459833,58.44550586191923
2015-12-14,358,644,1638,2640,13.560606060606062,24.393939393939394,62.04545454545455
2015-12-15,371,683,1753,2807,13.216957605985039,24.33202707516922,62.451015318845734
2015-12-16,548,723,2081,3352,16.348448687350835,21.569212410501194,62.082338902147974
