Date,Negative,Positive,Neutral,Total,Percentage_neg,Percentage_pos,Percentage_neutr
2015-10-23,704,898,2692,4294,16.39496972519795,20.912901723334887,62.692128551467164
2015-10-24,355,657,1727,2739,12.960934647681635,23.986856516977,63.05220883534136
2015-10-25,374,452,1171,1997,18.728092138207312,22.633950926389584,58.6379569354031
2015-10-26,546,717,1491,2754,19.825708061002178,26.034858387799563,54.13943355119826
2015-10-27,592,666,1935,3193,18.540557469464453,20.85812715314751,60.60131537738803
2015-10-28,504,1401,1972,3877,12.999742068609748,36.136187774052104,50.86407015733815
2015-10-29,444,755,2121,3320,13.373493975903614,22.740963855421686,63.885542168674704
2015-10-30,543,831,2337,3711,14.632174616006468,22.392886014551333,62.9749393694422
2015-10-31,486,617,1663,2766,17.570498915401302,22.30657989877079,60.12292118582791
2015-11-01,608,620,1286,2514,24.184566428003183,24.66189339697693,51.153540175019884
2015-11-02,892,909,2809,4610,19.34924078091106,19.718004338394792,60.93275488069414
2015-11-03,666,951,2504,4121,16.16112594030575,23.076923076923077,60.761950982771175
2015-11-04,444,1120,2090,3654,12.151067323481117,30.65134099616858,57.1975916803503
2015-11-05,965,1714,2395,5074,19.018525817895153,33.78005518328735,47.2014189988175
2015-11-06,772,1488,2554,4814,16.036560033236395,30.909846281678437,53.05359368508517
2015-11-07,530,769,1927,3226,16.429014259144452,23.83756974581525,59.733415995040296
2015-11-08,459,535,1679,2673,17.17171717171717,20.014964459408905,62.81331836887393
2015-11-09,821,749,2396,3966,20.70095814422592,18.885526979324258,60.413514876449824
2015-11-10,781,1021,2308,4110,19.002433090024333,24.84184914841849,56.15571776155718
2015-11-11,641,959,2174,3774,16.984631690514043,25.410704822469526,57.604663487016424
2015-11-12,601,841,1706,3148,19.09148665819568,26.715374841168998,54.19313850063533
2015-11-13,435,736,1704,2875,15.130434782608695,25.6,59.2695652173913
2015-11-14,484,741,1553,2778,17.42260619150468,26.673866090712746,55.90352771778257
2015-11-15,640,813,1856,3309,19.34119069205198,24.56935630099728,56.08945300695074
2015-11-16,453,798,1841,3092,14.650711513583442,25.808538163001295,59.54075032341527
2015-11-17,553,872,2449,3874,14.27465152297367,22.509034589571502,63.216313887454824
2015-11-18,488,1058,2172,3718,13.12533620225928,28.456159225389992,58.41850457235073
2015-11-19,454,887,2591,3932,11.546286876907425,22.55849440488301,65.89521871820956
2015-11-20,327,871,1756,2954,11.06973595125254,29.48544346648612,59.444820582261336
