Date,Positive_nlikes,Positive_nreplies,Positive_nretweets,Negative_nlikes,Negative_nreplies,Negative_nretweets,Neutral_nlikes,Neutral_nreplies,Neutral_nretweets,Positive tweets,Negative tweets,Neutral tweets
2015-10-01,36.18421052631579,19.736842105263158,44.078947368421055,24.444444444444443,4.126984126984127,71.42857142857143,38.34586466165413,15.789473684210526,45.86466165413534,53.34685598377282,13.59026369168357,33.06288032454361
2015-10-02,59.01639344262295,10.382513661202186,30.601092896174862,20.7492795389049,2.3054755043227666,76.94524495677233,45.54455445544554,14.851485148514852,39.603960396039604,57.918552036199095,10.633484162895927,31.447963800904976
2015-10-03,54.61538461538461,26.153846153846153,19.23076923076923,26.878612716763005,4.046242774566474,69.07514450867052,40.625,29.166666666666668,30.208333333333332,53.73961218836565,10.803324099722992,35.45706371191136
2015-10-04,41.732283464566926,14.960629921259843,43.30708661417323,26.174496644295303,1.342281879194631,72.48322147651007,46.03174603174603,3.1746031746031744,50.79365079365079,56.09756097560975,11.788617886178862,32.113821138211385
2015-10-05,57.30337078651685,10.112359550561798,32.58426966292135,28.925619834710744,5.785123966942149,65.2892561983471,68.96551724137932,7.758620689655173,23.275862068965516,56.93069306930693,10.643564356435643,32.42574257425743
2015-10-06,37.827715355805246,16.10486891385768,46.06741573033708,29.454545454545453,3.272727272727273,67.27272727272727,47.972972972972975,11.486486486486486,40.54054054054054,57.40318906605923,12.984054669703873,29.612756264236904
2015-10-07,48.534201954397396,11.726384364820847,39.73941368078176,29.86425339366516,6.334841628959276,63.800904977375566,51.666666666666664,14.444444444444445,33.888888888888886,49.881796690307326,12.529550827423169,37.5886524822695
2015-10-08,55.78947368421053,11.578947368421053,32.63157894736842,29.775280898876403,1.1235955056179776,69.10112359550561,49.32432432432432,9.45945945945946,41.21621621621622,51.31578947368421,7.105263157894737,41.578947368421055
2015-10-09,56.12244897959184,12.585034013605442,31.292517006802722,22.55125284738041,1.8223234624145785,75.62642369020502,51.975051975051976,5.613305613305613,42.41164241164241,36.50586701434159,6.6492829204693615,56.84485006518905
2015-10-10,54.589371980676326,25.120772946859905,20.28985507246377,40.625,4.375,55.0,55.03597122302158,17.26618705035971,27.697841726618705,38.13559322033898,5.508474576271187,56.355932203389834
2015-10-11,49.029126213592235,14.077669902912621,36.89320388349515,24.742268041237114,4.639175257731959,70.61855670103093,37.1868978805395,5.973025048169557,56.84007707129094,44.927536231884055,10.628019323671497,44.44444444444444
2015-10-12,48.63387978142077,11.748633879781421,39.61748633879781,28.181818181818183,5.454545454545454,66.36363636363636,55.12820512820513,13.461538461538462,31.41025641025641,42.46284501061571,13.588110403397028,43.94904458598726
2015-10-13,49.473684210526315,8.421052631578947,42.10526315789474,33.333333333333336,6.0606060606060606,60.60606060606061,36.07427055702918,11.936339522546419,51.9893899204244,50.0,18.83116883116883,31.16883116883117
2015-10-14,41.54078549848943,4.984894259818731,53.47432024169184,25.36231884057971,5.797101449275362,68.84057971014492,41.43646408839779,12.154696132596685,46.408839779005525,49.77064220183486,18.119266055045873,32.11009174311926
2015-10-15,38.07106598984772,8.883248730964468,53.045685279187815,41.86046511627907,20.930232558139537,37.2093023255814,40.7035175879397,11.055276381909549,48.24120603015076,56.92307692307692,8.717948717948717,34.35897435897436
2015-10-16,26.095617529880478,12.549800796812749,61.354581673306775,36.36363636363637,1.8181818181818181,61.81818181818182,42.69662921348315,9.737827715355806,47.56554307116105,51.31964809384164,10.263929618768328,38.41642228739003
2015-10-17,34.19203747072599,5.152224824355972,60.65573770491803,33.333333333333336,7.142857142857143,59.523809523809526,58.8235294117647,9.090909090909092,32.0855614973262,50.869565217391305,15.217391304347826,33.91304347826087
2015-10-18,26.2987012987013,5.51948051948052,68.18181818181819,23.225806451612904,4.516129032258065,72.25806451612904,37.91208791208791,8.791208791208792,53.2967032967033,51.724137931034484,13.300492610837438,34.97536945812808
2015-10-19,39.94565217391305,3.260869565217391,56.79347826086956,30.864197530864196,1.2345679012345678,67.90123456790124,41.125541125541126,12.121212121212121,46.753246753246756,50.3125,11.875,37.8125
2015-10-20,39.47858472998138,5.027932960893855,55.493482309124765,41.98473282442748,3.816793893129771,54.19847328244275,50.892857142857146,5.357142857142857,43.75,57.5,11.0,31.5
2015-10-21,32.743362831858406,4.070796460176991,63.1858407079646,47.05882352941177,17.647058823529413,35.294117647058826,52.34375,8.59375,39.0625,59.40298507462686,8.656716417910447,31.940298507462686
2015-10-22,25.86015538290788,3.1076581576026636,71.03218645948945,23.728813559322035,11.864406779661017,64.40677966101696,48.818897637795274,11.811023622047244,39.37007874015748,64.0117994100295,11.504424778761061,24.48377581120944
2015-10-23,39.6,4.6,55.8,32.64367816091954,2.7586206896551726,64.59770114942529,36.30573248407644,7.643312101910828,56.05095541401274,57.681940700808624,12.129380053908356,30.18867924528302
2015-10-24,12.802275960170697,2.204836415362731,84.99288762446658,20.47685834502104,1.8232819074333801,77.69985974754559,54.77386934673367,11.557788944723619,33.66834170854271,51.935483870967744,17.741935483870968,30.322580645161292
2015-10-25,18.207681365576104,5.974395448079658,75.81792318634425,49.31506849315068,8.219178082191782,42.465753424657535,52.857142857142854,15.714285714285714,31.428571428571427,31.73076923076923,28.26923076923077,40.0
2015-10-26,26.381909547738694,6.78391959798995,66.83417085427136,18.055555555555557,8.333333333333334,73.61111111111111,54.285714285714285,7.619047619047619,38.095238095238095,60.73446327683616,16.666666666666668,22.598870056497177
