Date,Positive_nlikes,Positive_nreplies,Positive_nretweets,Negative_nlikes,Negative_nreplies,Negative_nretweets,Neutral_nlikes,Neutral_nreplies,Neutral_nretweets,Total_nlikes,Total_nreplies,Total_nretweets
2015-10-30,559,102,454,458,95,479,887,240,1268,1904,437,2201
2015-10-31,195,69,235,189,80,266,558,220,729,942,369,1230
2015-11-01,357,92,313,295,68,321,567,116,656,1219,276,1290
2015-11-02,749,184,750,506,114,575,949,257,1203,2204,555,2528
2015-11-03,784,186,504,559,127,533,1226,306,1107,2569,619,2144
2015-11-04,1385,172,1099,267,61,257,2389,365,1684,4041,598,3040
2015-11-05,1523,220,1231,527,127,457,1515,282,1373,3565,629,3061
2015-11-06,6586,634,3668,593,124,670,2542,575,2580,9721,1333,6918
2015-11-07,491,97,402,559,117,546,901,237,971,1951,451,1919
2015-11-08,390,116,406,341,77,405,955,221,1329,1686,414,2140
2015-11-09,1001,115,952,650,181,903,1311,262,1593,2962,558,3448
2015-11-10,589,131,538,327,86,410,2215,364,2566,3131,581,3514
2015-11-11,1249,131,847,358,99,424,3873,465,2560,5480,695,3831
2015-11-12,414,112,447,199,57,210,4428,255,4600,5041,424,5257
2015-11-13,909,210,951,1249,84,596,2940,514,2461,5098,808,4008
2015-11-14,568,182,548,458,120,448,1145,275,1008,2171,577,2004
2015-11-15,1008,203,762,699,260,613,1630,495,1586,3337,958,2961
2015-11-16,2060,221,975,519,129,579,1485,264,1453,4064,614,3007
2015-11-17,831,181,769,335,112,300,1632,289,1746,2798,582,2815
2015-11-18,1829,237,1773,442,112,538,2941,454,2507,5212,803,4818
2015-11-19,749,130,646,690,130,619,1205,292,1640,2644,552,2905
2015-11-20,2903,445,1768,323,129,309,1072,216,1337,4298,790,3414
2015-11-21,861,157,689,234,100,205,1120,273,1397,2215,530,2291
2015-11-22,687,146,571,224,82,214,1181,263,1286,2092,491,2071
2015-11-23,2714,466,1744,334,111,438,1349,434,1845,4397,1011,4027
2015-11-24,1038,184,934,526,150,596,3099,667,3261,4663,1001,4791
2015-11-25,3197,519,1937,456,186,721,1706,439,2411,5359,1144,5069
2015-11-26,1003,158,992,601,134,714,1521,249,1507,3125,541,3213
2015-11-27,2527,365,2003,441,77,475,1823,303,2060,4791,745,4538
2015-11-28,1361,214,1091,634,121,638,2631,523,2618,4626,858,4347
2015-11-29,2419,317,2655,1732,372,1993,4737,746,4567,8888,1435,9215
2015-11-30,5882,944,4965,1418,304,1504,18620,2502,15580,25920,3750,22049
2015-12-01,3341,708,2776,1085,310,1175,4077,951,4493,8503,1969,8444
2015-12-02,1828,302,1674,1021,283,982,4497,889,4458,7346,1474,7114
2015-12-03,2383,428,2280,1493,213,951,3182,585,3368,7058,1226,6599
2015-12-04,2076,282,1496,1256,196,1263,3152,551,3742,6484,1029,6501
2015-12-05,1128,219,965,481,136,448,4928,555,3860,6537,910,5273
2015-12-06,1071,223,859,538,145,563,1898,366,1898,3507,734,3320
2015-12-07,1618,299,1724,1077,157,1009,2500,420,2113,5195,876,4846
2015-12-08,1460,216,1401,446,105,373,2243,385,2277,4149,706,4051
2015-12-09,1210,168,929,630,108,521,1764,358,1487,3604,634,2937
2015-12-10,1917,308,1140,639,153,591,1918,370,1648,4474,831,3379
2015-12-11,2437,389,1480,2573,155,2829,2260,365,1805,7270,909,6114
2015-12-12,8396,1434,6959,3298,673,2687,12844,1956,13178,24538,4063,22824
2015-12-13,8731,677,8356,1230,236,582,7760,1002,5578,17721,1915,14516
2015-12-14,1994,350,1240,1259,331,823,2851,653,2308,6104,1334,4371
2015-12-15,2975,395,1566,2247,185,970,4097,491,2356,9319,1071,4892
2015-12-16,3071,381,1635,1080,170,797,3009,447,2141,7160,998,4573
2015-12-17,1849,244,916,749,99,594,1120,275,847,3718,618,2357
2015-12-18,927,198,815,448,101,267,2024,355,1534,3399,654,2616
2015-12-19,666,154,435,440,98,277,1989,237,1781,3095,489,2493
2015-12-20,736,140,674,498,100,363,1223,255,868,2457,495,1905
2015-12-21,1333,204,795,502,177,325,1287,248,978,3122,629,2098
2015-12-22,1257,200,588,606,128,247,2847,314,1899,4710,642,2734
2015-12-23,2602,296,1343,3744,217,2253,2594,453,1356,8940,966,4952
2015-12-24,5383,648,1823,6058,569,2316,7508,854,3315,18949,2071,7454
2015-12-25,12768,430,7281,1359,208,760,3635,360,1904,17762,998,9945
2015-12-26,2007,199,836,635,134,588,2784,341,1739,5426,674,3163
2015-12-27,1805,189,890,567,120,558,1260,253,876,3632,562,2324
2015-12-28,1064,241,633,781,143,835,1120,315,882,2965,699,2350
2015-12-29,4044,234,1977,658,150,601,860,239,708,5562,623,3286
2015-12-30,3239,454,1554,613,110,224,669,214,760,4521,778,2538
2015-12-31,806,131,581,397,95,381,1460,238,1134,2663,464,2096
2016-01-01,579,119,334,167,37,89,1244,198,946,1990,354,1369
2016-01-02,592,80,553,246,55,216,900,172,770,1738,307,1539
2016-01-03,779,103,724,221,80,206,879,167,705,1879,350,1635
2016-01-04,530,168,495,268,74,169,1061,196,921,1859,438,1585
2016-01-05,7562,317,2188,515,107,451,1003,216,730,9080,640,3369
2016-01-06,922,139,552,309,95,278,1224,189,1067,2455,423,1897
2016-01-07,331,76,268,328,62,145,616,163,567,1275,301,980
2016-01-08,696,112,493,425,69,1083,601,125,453,1722,306,2029
2016-01-09,466,100,337,204,28,158,544,92,481,1214,220,976
2016-01-10,1030,104,1097,313,50,219,659,137,548,2002,291,1864
2016-01-11,390,71,287,477,49,442,645,113,568,1512,233,1297
2016-01-12,603,92,380,310,59,168,1058,196,950,1971,347,1498
2016-01-13,5466,333,2783,758,130,545,11112,1372,6725,17336,1835,10053
2016-01-14,860,115,808,313,63,247,1631,295,2020,2804,473,3075
2016-01-15,584,85,417,306,66,224,787,135,777,1677,286,1418
2016-01-16,465,83,467,273,46,309,3033,217,3259,3771,346,4035
2016-01-17,398,117,427,205,54,175,832,199,810,1435,370,1412
2016-01-18,582,121,290,238,72,111,2914,266,1968,3734,459,2369
2016-01-19,614,87,327,399,80,271,1181,207,1142,2194,374,1740
2016-01-20,2499,1088,2248,774,182,861,1433,307,1619,4706,1577,4728
2016-01-21,629,164,628,735,133,520,1987,342,1581,3351,639,2729
2016-01-22,1934,217,1175,583,104,516,1755,358,1546,4272,679,3237
2016-01-23,861,209,491,1483,214,779,3045,556,2027,5389,979,3297
2016-01-24,978,168,599,440,132,348,1814,327,1217,3232,627,2164
2016-01-25,880,173,1000,463,99,393,6323,516,4726,7666,788,6119
2016-01-26,607,101,392,389,75,369,1942,210,1238,2938,386,1999
2016-01-27,412,125,439,326,57,195,1362,214,1220,2100,396,1854
2016-01-28,428,85,201,197,37,99,1040,206,1009,1665,328,1309
2016-01-29,787,84,491,357,75,307,6643,653,4693,7787,812,5491
2016-01-30,335,53,403,219,60,145,680,128,733,1234,241,1281
2016-01-31,707,111,456,403,77,421,796,146,506,1906,334,1383
2016-02-01,5469,173,2075,430,67,148,1273,239,984,7172,479,3207
2016-02-02,1105,100,501,518,107,304,2057,324,1306,3680,531,2111
2016-02-03,1049,195,625,460,65,279,1949,192,1523,3458,452,2427
2016-02-04,679,103,407,261,62,144,851,210,858,1791,375,1409
2016-02-05,487,96,336,452,91,241,1003,297,1337,1942,484,1914
2016-02-06,753,68,522,447,52,418,448,121,414,1648,241,1354
2016-02-07,2513,130,1191,224,49,201,644,140,455,3381,319,1847
2016-02-08,522,111,405,861,55,584,429,122,375,1812,288,1364
2016-02-09,515,99,416,248,46,174,2607,278,2154,3370,423,2744
2016-02-10,888,103,444,1099,70,730,876,185,894,2863,358,2068
2016-02-11,399,72,318,374,136,462,5046,280,2993,5819,488,3773
2016-02-12,509,90,389,298,99,317,761,144,663,1568,333,1369
2016-02-13,347,61,285,607,78,216,1024,205,861,1978,344,1362
2016-02-14,544,100,318,357,60,202,1439,219,859,2340,379,1379
2016-02-15,1564,98,1336,444,132,518,614,120,517,2622,350,2371
2016-02-16,562,97,475,281,85,350,932,147,925,1775,329,1750
2016-02-17,680,79,616,255,78,204,982,241,981,1917,398,1801
2016-02-18,422,51,174,131,15,57,668,90,634,1221,156,865
