Date,Negative,Positive,Neutral,Total,Percentage_neg,Percentage_pos,Percentage_neutr
2019-10-01,79,262,82,423,18.67612293144208,61.938534278959814,19.38534278959811
2019-10-02,76,220,94,390,19.48717948717949,56.41025641025641,24.102564102564102
2019-10-03,109,357,116,582,18.72852233676976,61.34020618556701,19.93127147766323
2019-10-04,88,263,100,451,19.51219512195122,58.31485587583148,22.172949002217297
2019-10-05,92,240,97,429,21.445221445221446,55.94405594405595,22.61072261072261
2019-10-06,117,254,85,456,25.657894736842106,55.70175438596491,18.640350877192983
2019-10-07,112,275,110,497,22.535211267605636,55.33199195171026,22.132796780684107
2019-10-08,85,235,105,425,20.0,55.294117647058826,24.705882352941178
2019-10-09,55,254,125,434,12.672811059907835,58.525345622119815,28.80184331797235
2019-10-10,96,255,104,455,21.0989010989011,56.043956043956044,22.857142857142858
2019-10-11,80,318,124,522,15.32567049808429,60.91954022988506,23.754789272030653
2019-10-12,68,249,76,393,17.302798982188293,63.358778625954194,19.338422391857506
2019-10-13,77,188,85,350,22.0,53.714285714285715,24.285714285714285
2019-10-14,82,237,95,414,19.806763285024154,57.2463768115942,22.946859903381643
2019-10-15,115,324,134,573,20.069808027923212,56.54450261780105,23.38568935427574
2019-10-16,90,282,96,468,19.230769230769234,60.256410256410255,20.51282051282051
2019-10-17,138,299,86,523,26.38623326959847,57.17017208413002,16.44359464627151
2019-10-18,113,301,92,506,22.33201581027668,59.48616600790514,18.181818181818183
2019-10-19,118,305,119,542,21.771217712177123,56.27306273062731,21.95571955719557
2019-10-20,106,329,142,577,18.370883882149048,57.019064124783355,24.610051993067593
2019-10-21,100,296,124,520,19.230769230769234,56.92307692307692,23.846153846153847
2019-10-22,85,305,101,491,17.311608961303463,62.11812627291242,20.570264765784113
2019-10-23,110,346,123,579,18.998272884283246,59.758203799654574,21.243523316062177
2019-10-24,123,277,114,514,23.929961089494164,53.89105058365759,22.17898832684825
2019-10-25,130,326,138,594,21.885521885521886,54.882154882154886,23.232323232323232
2019-10-26,99,264,87,450,22.0,58.666666666666664,19.333333333333332
2019-10-27,89,205,67,361,24.653739612188367,56.78670360110804,18.559556786703602
2019-10-28,98,200,103,401,24.438902743142144,49.87531172069826,25.6857855361596
2019-10-29,108,239,137,484,22.31404958677686,49.3801652892562,28.305785123966942
2019-10-30,96,248,102,446,21.524663677130047,55.60538116591929,22.869955156950674
2019-10-31,67,201,91,359,18.662952646239557,55.98885793871866,25.348189415041784
2019-11-01,105,271,141,517,20.309477756286267,52.41779497098646,27.27272727272727
2019-11-02,81,209,93,383,21.148825065274153,54.56919060052219,24.281984334203656
2019-11-03,84,186,107,377,22.281167108753316,49.3368700265252,28.381962864721483
2019-11-04,110,288,126,524,20.99236641221374,54.961832061068705,24.045801526717558
2019-11-05,105,257,105,467,22.483940042826553,55.0321199143469,22.483940042826553
2019-11-06,87,228,119,434,20.046082949308754,52.53456221198156,27.419354838709676
2019-11-07,103,263,83,449,22.93986636971047,58.57461024498887,18.485523385300667
2019-11-08,62,277,74,413,15.012106537530268,67.07021791767555,17.91767554479419
2019-11-09,46,145,69,260,17.692307692307693,55.769230769230774,26.53846153846154
2019-11-10,70,212,93,375,18.666666666666668,56.53333333333334,24.8
2019-11-11,87,292,110,489,17.791411042944784,59.71370143149284,22.494887525562373
2019-11-12,96,237,108,441,21.768707482993197,53.74149659863946,24.489795918367346
