Date,Positive_nlikes,Positive_nreplies,Positive_nretweets,Negative_nlikes,Negative_nreplies,Negative_nretweets,Neutral_nlikes,Neutral_nreplies,Neutral_nretweets,Total_Positive,Total_Negative,Total_Neutral
2019-12-25,2762,167,864,161,64,78,2449,126,1264,3793,303,3839
2019-12-26,1872,175,754,6693,512,2208,697,73,250,2801,9413,1020
2019-12-27,6650,475,2380,1967,266,1154,402,79,95,9505,3387,576
2019-12-28,669,131,172,1986,196,950,345,70,94,972,3132,509
2019-12-29,1845,220,904,2694,194,1110,5221,578,4981,2969,3998,10780
2019-12-30,891,124,193,5602,634,2950,450,83,117,1208,9186,650
2019-12-31,3868,261,1116,2595,212,1386,347,65,72,5245,4193,484
2020-01-01,1258,215,458,9036,295,3370,243,57,97,1931,12701,397
2020-01-02,1417,213,582,949,200,429,1197,104,545,2212,1578,1846
2020-01-03,540,153,217,450,94,111,717,69,400,910,655,1186
2020-01-04,1870,152,310,1197,172,382,897,92,264,2332,1751,1253
2020-01-05,16465,1911,3904,351,65,158,287,59,291,22280,574,637
2020-01-06,1939,380,647,2106,167,869,707,41,330,2966,3142,1078
2020-01-07,3056,431,851,305,90,101,951,80,664,4338,496,1695
2020-01-08,21095,1100,8074,3227,234,1382,6187,457,6278,30269,4843,12922
2020-01-09,7310,592,3349,2790,295,948,1115,180,424,11251,4033,1719
2020-01-10,13149,574,5312,2088,191,926,3357,206,861,19035,3205,4424
2020-01-11,1754,312,995,59213,1522,12251,275,65,78,3061,72986,418
2020-01-12,1184,181,692,1774,138,880,4146,240,2718,2057,2792,7104
2020-01-13,1397,162,776,2154,107,833,107,31,16,2335,3094,154
2020-01-14,1849,179,752,830,127,444,680,76,526,2780,1401,1282
2020-01-15,1022,130,333,4047,162,437,2114,178,1330,1485,4646,3622
2020-01-16,1583,173,596,509,79,250,1334,96,490,2352,838,1920
2020-01-17,4849,739,985,1494,122,675,472,66,134,6573,2291,672
2020-01-18,1399,189,352,3501,377,1304,3862,91,380,1940,5182,4333
2020-01-19,4604,322,1664,346,59,95,355,46,61,6590,500,462
2020-01-20,3891,496,1926,932,143,364,1206,183,514,6313,1439,1903
2020-01-21,12046,1185,3240,1887,179,937,670,103,234,16471,3003,1007
2020-01-22,6800,609,2716,17417,1464,6018,4434,1220,1015,10125,24899,6669
2020-01-23,1151,199,429,1007,144,554,2032,185,595,1779,1705,2812
2020-01-24,9644,546,2524,1747,139,355,1091,115,366,12714,2241,1572
2020-01-25,1775,190,454,687,138,128,502,90,125,2419,953,717
2020-01-26,1011,180,265,694,194,314,1138,85,344,1456,1202,1567
2020-01-27,9381,477,2535,2098,151,559,1519,143,493,12393,2808,2155
2020-01-28,2754,387,990,3399,1808,867,1082,126,480,4131,6074,1688
2020-01-29,1714,206,534,899,118,353,1312,116,509,2454,1370,1937
2020-01-30,7384,465,2093,1784,187,745,1312,103,276,9942,2716,1691
2020-01-31,5834,632,1406,2248,206,475,1274,123,427,7872,2929,1824
2020-02-01,3129,449,656,2790,266,825,6170,811,1373,4234,3881,8354
2020-02-02,1938,372,483,3810,431,1120,329,80,56,2793,5361,465
2020-02-03,906,182,370,376,82,191,542,197,202,1458,649,941
2020-02-04,2906,172,1004,858,110,364,8850,1049,1488,4082,1332,11387
2020-02-05,7240,929,3354,1805,111,1254,1745,65,755,11523,3170,2565
2020-02-06,982,143,313,1225,115,428,565,52,133,1438,1768,750
