Date,Positive_nlikes,Positive_nreplies,Positive_nretweets,Negative_nlikes,Negative_nreplies,Negative_nretweets,Neutral_nlikes,Neutral_nreplies,Neutral_nretweets,Total_Positive,Total_Negative,Total_Neutral
2019-10-01,14823,1558,3579,16284,989,5898,20750,1166,10849,19960,23171,32765
2019-10-02,11470,900,3247,4418,533,1620,7634,920,2409,15617,6571,10963
2019-10-03,24209,1378,4917,7923,1315,3351,4794,597,1304,30504,12589,6695
2019-10-04,11774,1008,4392,5436,698,1821,7740,802,2046,17174,7955,10588
2019-10-05,5407,567,1926,3426,433,1347,5516,620,1989,7900,5206,8125
2019-10-06,13812,770,4195,5473,443,1764,6140,737,2615,18777,7680,9492
2019-10-07,11815,1160,4395,8065,871,2367,17549,655,2559,17370,11303,20763
2019-10-08,13104,1181,4525,5477,692,2336,7658,1155,2256,18810,8505,11069
2019-10-09,10215,946,4343,9059,646,2106,12697,2264,3492,15504,11811,18453
2019-10-10,13184,1363,4783,5112,662,1702,5044,527,1803,19330,7476,7374
2019-10-11,8173,2779,3161,8115,774,1841,12311,1543,3531,14113,10730,17385
2019-10-12,5063,833,1947,2569,416,863,16349,1611,7573,7843,3848,25533
2019-10-13,29425,996,8113,616,105,271,1063,220,374,38534,992,1657
2019-10-14,11363,8933,3644,4831,447,1967,11990,1392,4136,23940,7245,17518
2019-10-15,8319,755,3153,3809,482,1414,5987,431,1377,12227,5705,7795
2019-10-16,31292,1543,6382,6055,540,2133,11052,666,2491,39217,8728,14209
2019-10-17,6862,880,2640,48721,2278,8107,4971,464,1343,10382,59106,6778
2019-10-18,14272,1121,3585,8820,796,2769,4157,422,1366,18978,12385,5945
2019-10-19,4964,465,1665,4496,450,2187,2220,313,762,7094,7133,3295
2019-10-20,50271,506,6640,5993,532,2749,6184,376,2047,57417,9274,8607
2019-10-21,6309,520,2114,6171,508,2472,3628,528,1128,8943,9151,5284
2019-10-22,23906,1386,7365,8066,557,3798,4936,443,2373,32657,12421,7752
2019-10-23,5785,917,2280,11407,591,5893,7351,936,2793,8982,17891,11080
2019-10-24,59926,973,22578,7898,517,2137,8475,1331,3479,83477,10552,13285
2019-10-25,17321,858,5164,5779,571,1867,4478,615,1759,23343,8217,6852
2019-10-26,9953,514,2236,7205,531,2926,4631,446,1437,12703,10662,6514
2019-10-27,5719,558,1664,15639,527,4183,5251,455,1755,7941,20349,7461
2019-10-28,8131,654,2747,4508,560,1357,4876,680,1787,11532,6425,7343
2019-10-29,9121,674,2942,8710,657,2302,5630,556,1473,12737,11669,7659
2019-10-30,10496,1042,3780,45554,1200,12235,9886,907,3267,15318,58989,14060
2019-10-31,12969,1041,2651,11991,1042,1974,65121,1525,14660,16661,15007,81306
2019-11-01,6263,676,1669,4654,1705,1554,4445,1928,1546,8608,7913,7919
2019-11-02,7637,672,2402,6273,1077,1054,14527,742,3837,10711,8404,19106
2019-11-03,7189,581,2381,6650,343,3693,2755,399,934,10151,10686,4088
2019-11-04,10430,1495,3775,12780,944,3460,20547,1243,7098,15700,17184,28888
2019-11-05,20748,1565,6135,54731,2548,18781,16253,1420,5991,28448,76060,23664
2019-11-06,9854,1462,3180,4223,493,1488,11567,1170,4184,14496,6204,16921
2019-11-07,10060,1039,2979,5866,772,1801,4941,692,1676,14078,8439,7309
2019-11-08,22747,1018,6538,11259,689,5277,6177,772,2058,30303,17225,9007
2019-11-09,10396,1344,3717,16025,1709,4882,24800,1264,6785,15457,22616,32849
2019-11-10,7352,747,1571,5336,629,2137,6006,760,1951,9670,8102,8717
2019-11-11,10148,1811,4670,12316,914,3178,7638,844,2201,16629,16408,10683
2019-11-12,12344,1160,3685,10447,985,3875,5063,811,1450,17189,15307,7324
2019-11-13,8555,978,3139,6026,700,1939,6138,873,1957,12672,8665,8968
2019-11-14,7823,1109,2703,8242,702,2417,38363,817,17349,11635,11361,56529
2019-11-15,18709,873,3105,17930,949,3718,6016,2037,1927,22687,22597,9980
2019-11-16,5555,643,1823,10560,774,3316,4228,410,1467,8021,14650,6105
2019-11-17,5685,644,1962,5795,411,1549,4822,612,1655,8291,7755,7089
2019-11-18,9961,909,3211,7020,433,1555,11003,570,2800,14081,9008,14373
2019-11-19,15488,938,3419,3842,365,1174,4757,538,1483,19845,5381,6778
2019-11-20,13644,998,5489,4197,485,1327,4795,434,1538,20131,6009,6767
2019-11-21,10739,1896,3584,5782,499,1199,10925,1303,2998,16219,7480,15226
2019-11-22,7434,626,2310,4142,406,1223,52780,594,16997,10370,5771,70371
2019-11-23,6589,671,1755,3107,336,997,12026,585,4469,9015,4440,17080
2019-11-24,26474,1235,9969,11213,564,3354,21820,1600,3474,37678,15131,26894
2019-11-25,15103,757,4913,6067,456,1994,4520,435,1440,20773,8517,6395
2019-11-26,11746,1113,6032,13185,1177,5702,5186,563,2097,18891,20064,7846
2019-11-27,22811,1358,9886,5011,706,1997,11963,1295,4561,34055,7714,17819
2019-11-28,7817,754,2643,7401,644,3187,10318,899,3944,11214,11232,15161
2019-11-29,42673,2367,7003,4927,656,1794,9780,1152,3870,52043,7377,14802
2019-11-30,19653,997,4689,4145,417,1662,24643,628,4682,25339,6224,29953
2019-12-01,11808,1332,4948,56485,4038,20888,15530,3055,5864,18088,81411,24449
2019-12-02,15012,1792,5566,4993,488,1719,12044,4194,4689,22370,7200,20927
2019-12-03,14928,1735,4025,5459,1099,1831,9914,1262,3772,20688,8389,14948
2019-12-04,18623,1872,7770,4004,557,1517,13013,1189,6650,28265,6078,20852
2019-12-05,8866,1066,3844,9108,963,3459,7933,868,3011,13776,13530,11812
2019-12-06,18643,1431,4967,3638,585,1323,6576,701,2262,25041,5546,9539
2019-12-07,6672,916,2485,6985,513,3141,5119,619,1675,10073,10639,7413
2019-12-08,8421,879,2951,3179,408,952,5815,933,2407,12251,4539,9155
2019-12-09,10024,1126,3431,7539,583,2502,16091,865,2825,14581,10624,19781
2019-12-10,11342,1335,4619,7174,656,2275,7066,577,2023,17296,10105,9666
2019-12-11,36335,2986,10090,26702,2188,4595,17340,1724,3893,49411,33485,22957
2019-12-12,11409,1301,3370,15200,1262,3847,17696,1203,4814,16080,20309,23713
2019-12-13,14639,1597,5568,177956,747,48313,7396,678,2136,21804,227016,10210
2019-12-14,77588,2540,12103,35846,3045,7988,11620,2181,2785,92231,46879,16586
2019-12-15,8459,1090,3489,9393,784,2864,7162,859,2738,13038,13041,10759
2019-12-16,13825,1162,4774,5712,614,1667,4315,569,1638,19761,7993,6522
2019-12-17,17777,1102,4006,5531,623,1773,3887,417,1217,22885,7927,5521
2019-12-18,4704,587,1420,5341,497,2024,4278,542,1174,6711,7862,5994
2019-12-19,185104,3729,88685,8447,817,2458,7089,545,2734,277518,11722,10368
2019-12-20,11707,959,3087,18548,764,5152,20985,975,4164,15753,24464,26124
2019-12-21,12860,1793,4910,76456,1670,5796,6842,560,3250,19563,83922,10652
2019-12-22,7960,728,2930,2341,383,763,5160,559,2334,11618,3487,8053
2019-12-23,12402,1839,3370,7592,1077,3161,3925,524,1171,17611,11830,5620
2019-12-24,10923,747,3205,13551,1004,4884,5523,569,1876,14875,19439,7968
2019-12-25,6189,463,1435,11303,589,4252,34371,520,7085,8087,16144,41976
2019-12-26,28565,1226,6732,6254,502,1740,6029,718,1445,36523,8496,8192
2019-12-27,23870,1830,8382,5062,702,1863,24015,3083,5909,34082,7627,33007
